language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
acn,10,0,2,6,4,3,5,0,9,3,0,2,4,2,0,0,2,0,4,8,3,2,3,5,2,1,10,8,8,7,9,7,2,1,7,7,4,9,9,10,2,0,6,9,0,8,9,9,12,10,10,13,5,9,4,7,0,0,2,0,3,18,10,13,9,4,0,10,10,16,1,11,9,8,13,9,2,19,2,16,8,9,9,10,9,4,9,12,9,18,0,6,10,5,10,9,0,9,15,10,5,14,8,6,9,2,0,12,0,6,8,10,10,3,9,11,1,9,3,11,0,8,1,12,10,9,5,2,10,9,2,8,11,20,0,9,3,0,10,15,11,1,0,4,0,8,2,6,5,16,11,9,0,3,0,21,1,1,10,1,14,12,9,4,6,18,9,6,11,8,12,4,9,2,10,8,11,0,1,5,4,10,0,8,2,12,0,1,6,1,0,9,8,4,11,7,0,0,9,4,10,2,10,7,9,10,7,11,3,11,7,1,2,5,5,16,8,8,13,8,12,7,11,12,8,5,0,9,9,0,16,1,9,8,3,1,9,6,9,6,7,7,5,2,10,1,3,0,17,0,11,17,9,0,7,0,9,6,6,8,4,2,11,0,3,10,2,2,8,4,11,0,9,7,11,8,18,1,2,5,10,11,12,11,0,8,0,9,12,4,0,1,10,13,7,7,5,9,7,11,3,4,9,2,13,0,0,9,11,2,13,2,5
ary,7,0,14,5,3,2,0,0,7,0,0,17,3,14,7,1,1,0,11,3,1,18,5,1,12,3,6,1,2,1,5,1,7,0,4,5,7,6,5,7,5,6,0,7,0,5,4,6,7,7,1,7,10,3,13,3,2,0,5,4,0,7,7,6,1,0,0,6,8,5,16,6,5,5,15,5,2,4,5,12,8,5,6,6,6,0,6,7,6,5,9,7,6,0,7,7,0,7,5,7,4,8,7,3,6,0,1,7,0,0,4,6,6,11,5,7,1,5,1,1,0,5,7,4,7,7,4,3,6,6,16,4,7,5,0,7,0,0,7,0,7,1,2,2,0,5,15,2,2,6,2,15,0,19,0,6,10,6,0,1,7,5,2,0,2,5,6,1,5,5,6,0,6,12,6,5,6,0,7,11,2,7,5,6,21,6,8,4,4,1,0,7,4,14,7,4,0,0,6,19,7,21,7,11,7,2,5,7,7,6,3,5,3,2,14,6,5,1,7,5,6,16,7,7,5,17,6,7,0,7,9,0,5,2,4,0,4,9,6,4,3,2,0,2,7,4,6,0,15,2,6,12,10,6,0,0,6,1,8,18,7,15,6,0,4,6,0,1,6,2,4,7,7,1,6,6,4,1,1,1,5,6,8,5,0,2,0,2,5,12,4,0,6,11,3,6,0,5,6,6,10,19,5,3,7,6,6,6,8,1,8,19,0
bdr,19,0,6,16,0,7,0,0,14,2,0,5,1,0,9,0,11,4,2,6,4,11,8,6,1,7,18,18,11,5,15,11,1,0,13,5,5,16,14,22,8,11,4,17,0,15,1,20,17,20,7,9,1,5,3,4,0,0,6,0,0,15,8,8,15,3,0,21,9,6,9,7,15,0,17,7,2,17,7,15,16,6,8,18,20,2,17,9,8,12,6,5,17,0,1,20,0,8,1,1,9,6,19,2,7,0,1,18,0,1,14,15,19,1,11,18,0,19,0,6,0,19,11,8,15,17,9,2,21,20,6,6,19,7,0,16,2,0,13,10,0,0,5,0,0,6,6,0,5,8,21,19,2,13,0,8,14,1,6,3,13,9,14,3,7,6,19,11,7,0,8,0,21,14,8,15,7,0,16,2,11,18,0,15,12,8,0,4,13,2,0,15,10,9,21,14,0,0,21,12,21,13,16,12,20,7,12,18,8,8,11,14,1,6,15,12,13,0,21,19,20,4,20,20,10,10,7,17,6,1,1,1,8,4,2,0,9,10,21,9,11,14,0,0,17,11,1,0,1,7,8,13,19,1,0,0,20,13,0,17,0,5,15,0,10,18,2,2,2,2,8,12,13,16,19,19,11,1,2,9,0,19,9,7,0,0,1,16,15,2,9,0,20,4,11,8,8,16,16,8,3,1,13,2,10,12,0,21,19,11,18,1,3
bdu,12,0,2,8,4,3,5,0,9,3,0,5,6,4,2,0,3,0,5,8,3,4,2,6,2,1,12,9,9,6,7,5,4,3,9,10,5,8,11,12,12,0,0,10,0,12,10,11,13,11,11,11,6,7,5,9,0,0,2,0,0,20,12,15,11,0,0,8,13,7,3,12,10,7,5,12,2,9,14,0,9,18,9,11,13,3,11,13,11,16,0,8,1,4,12,9,0,12,0,1,5,2,10,6,10,2,3,14,0,7,8,8,11,4,9,8,1,10,3,5,0,10,1,10,11,13,7,2,12,11,9,7,14,9,0,9,1,0,4,0,12,1,0,6,0,7,4,7,5,18,9,10,0,4,0,18,3,2,11,1,12,2,10,4,6,20,11,6,13,7,13,4,11,2,12,10,11,0,12,2,5,12,0,10,4,9,3,2,6,1,0,12,6,1,14,9,0,0,11,5,12,6,8,3,9,11,8,6,13,1,9,4,3,5,3,18,10,2,10,12,15,5,12,9,9,6,2,11,11,2,16,1,11,7,6,0,10,6,11,6,7,8,5,0,12,6,1,0,2,0,9,19,10,3,8,0,13,7,5,11,5,4,12,0,3,8,3,2,2,5,13,14,9,9,9,12,20,1,2,4,11,12,13,12,3,10,0,8,8,1,0,1,13,3,0,9,5,11,9,10,4,5,7,2,15,0,2,13,1,5,14,6,4
cft,14,0,1,12,0,6,0,0,18,0,0,9,8,11,6,0,10,0,13,1,3,6,0,13,7,11,15,14,13,1,12,13,4,0,17,13,10,8,12,17,2,10,10,13,0,14,14,17,16,18,9,10,0,11,8,5,3,0,2,0,0,10,17,22,14,0,0,17,11,13,7,15,13,6,17,14,1,15,8,3,13,11,13,14,18,6,15,17,14,11,5,4,13,0,16,16,1,10,12,12,8,8,16,5,8,0,7,10,5,9,12,14,14,5,7,15,1,16,0,11,0,17,5,9,13,10,15,6,16,14,14,11,18,18,0,15,4,0,19,8,8,7,0,0,0,10,19,0,8,11,18,17,0,11,0,11,5,1,13,2,12,8,13,5,5,9,14,7,19,15,17,0,17,1,14,12,8,0,10,7,9,14,0,14,8,10,1,0,5,0,0,13,7,7,16,13,0,0,18,10,17,9,14,8,17,9,0,13,2,9,14,16,3,9,8,9,0,11,17,17,10,11,19,15,0,8,12,16,14,0,12,1,14,6,4,0,16,9,18,12,10,11,0,0,14,1,2,0,3,0,8,8,10,2,6,0,18,10,1,2,2,21,9,0,9,15,1,2,7,0,6,9,1,12,18,14,8,1,2,7,12,16,16,15,0,5,4,15,13,3,6,1,19,7,6,2,7,14,13,14,16,12,11,11,18,10,9,18,16,10,11,12,6
crx,8,0,3,8,3,1,0,0,8,0,0,18,1,15,18,1,17,1,1,5,1,19,5,1,13,6,7,6,5,1,4,1,1,8,5,6,5,5,6,8,7,5,2,13,0,6,5,7,8,14,6,8,10,4,14,0,2,0,3,0,0,8,6,7,5,8,0,7,7,5,17,5,6,0,16,6,1,5,6,14,0,2,7,7,7,0,7,8,7,6,10,3,7,0,8,8,0,7,6,3,2,11,6,3,3,3,1,8,0,0,5,7,7,12,6,19,1,6,1,4,6,6,10,7,8,8,0,3,7,7,17,5,8,6,0,6,0,0,8,5,5,1,2,2,1,8,16,4,2,7,8,7,4,20,0,7,11,1,0,1,8,8,2,0,2,2,7,5,6,6,7,0,7,13,7,7,5,0,8,11,2,8,0,7,22,7,11,1,6,1,0,7,4,11,8,5,0,0,7,20,8,22,5,0,8,2,6,8,1,7,5,9,3,2,8,3,6,5,8,6,7,5,8,8,0,16,2,6,5,6,10,0,6,3,0,0,5,0,7,1,6,3,0,2,8,1,7,0,16,2,7,5,6,5,0,0,7,4,0,19,8,16,7,0,11,7,1,2,3,0,5,11,8,5,7,7,5,1,1,7,2,7,7,6,2,2,2,2,7,13,4,1,7,2,5,5,0,2,13,7,4,20,6,7,8,3,7,7,5,17,9,20,6
dew,9,0,3,7,4,4,6,0,10,4,0,3,5,2,9,0,1,0,3,7,3,0,0,1,3,8,9,7,7,6,8,0,3,2,6,7,4,10,8,9,10,0,5,14,0,8,7,8,11,8,8,12,3,8,3,6,0,0,2,0,0,17,9,12,8,0,0,9,10,9,0,9,8,0,1,11,2,6,12,1,7,8,11,9,8,3,8,11,10,17,0,9,9,3,9,10,1,11,13,9,6,12,7,6,8,3,1,11,0,5,6,9,8,2,7,10,1,7,3,5,0,7,1,11,9,11,6,2,9,8,7,12,9,8,0,10,1,0,9,14,10,1,0,5,0,7,1,5,6,1,10,8,0,1,0,19,12,6,9,1,1,11,8,4,4,17,8,6,10,17,10,4,8,0,11,7,0,0,9,2,7,9,0,9,1,11,2,1,7,1,0,11,6,3,9,15,0,0,8,2,9,1,9,5,10,8,0,10,10,10,6,2,2,5,4,11,8,7,11,7,9,6,10,11,6,3,12,8,7,0,5,3,9,5,5,0,7,7,8,7,9,6,5,4,10,5,1,0,4,0,10,16,7,4,2,0,8,5,4,6,3,1,10,0,13,9,0,2,2,0,10,13,10,8,10,9,17,5,2,4,8,9,11,10,0,7,0,8,1,1,7,2,8,3,0,7,5,8,15,9,5,2,8,8,12,7,0,8,10,3,12,4,4
djm,9,0,3,7,4,4,6,0,10,4,0,3,5,2,9,0,1,0,3,7,3,0,0,1,3,8,9,7,7,6,8,0,3,2,6,7,4,10,8,9,10,0,5,14,0,8,7,8,11,8,8,12,3,8,3,6,0,0,2,0,0,17,9,12,8,0,0,9,10,9,0,9,8,0,1,11,2,6,12,1,7,8,11,9,8,3,8,11,10,17,0,9,9,3,9,10,1,11,13,9,6,12,7,6,8,3,1,11,0,5,6,9,8,2,7,10,1,7,3,5,0,7,1,11,9,11,6,2,9,8,7,12,9,8,0,10,1,0,9,14,10,1,0,5,0,7,1,5,6,1,10,8,0,1,0,19,12,6,9,1,1,11,8,4,4,17,8,6,10,17,10,4,8,0,11,7,0,0,9,2,7,9,0,9,1,11,2,1,7,1,0,11,6,3,9,15,0,0,8,2,9,1,9,5,10,8,0,10,10,10,6,2,2,5,4,11,8,7,11,7,9,6,10,11,6,3,12,8,7,0,5,3,9,5,5,0,7,7,8,7,9,6,5,4,10,5,1,0,4,0,10,16,7,4,2,0,8,5,4,6,3,1,10,0,13,9,0,2,2,0,10,13,10,8,10,9,17,5,2,4,8,9,11,10,0,7,0,8,1,1,7,2,8,3,0,7,5,8,15,9,5,2,8,8,12,7,0,8,10,3,12,4,4
dqz,2,0,11,1,0,3,0,0,3,0,0,12,1,15,14,1,14,2,10,3,2,15,6,3,10,3,1,3,3,3,0,3,6,0,2,1,1,3,3,2,3,4,1,2,0,3,0,1,3,2,2,1,8,6,10,6,2,0,3,2,0,2,2,2,3,2,0,1,3,2,12,1,13,3,12,2,1,1,3,11,1,1,2,2,1,0,1,3,2,2,3,4,2,7,2,2,0,3,2,5,2,2,2,4,0,0,1,3,0,2,7,2,2,9,2,3,0,0,1,2,4,1,7,2,4,3,1,3,1,2,3,2,3,1,0,2,0,0,2,1,4,1,1,3,0,0,11,0,2,3,3,2,0,17,0,2,13,4,3,1,3,3,3,4,0,1,1,1,1,2,1,0,2,9,4,3,3,0,3,8,2,2,3,2,16,1,0,4,3,1,0,2,3,12,2,1,0,0,1,15,2,17,2,8,3,4,3,2,4,1,2,10,3,3,10,2,3,2,3,2,3,2,3,2,3,8,2,2,14,6,6,0,1,1,9,0,2,1,1,1,0,3,3,2,2,1,0,2,12,4,4,1,1,0,0,0,1,13,8,3,0,10,2,0,2,1,0,1,4,0,8,7,3,2,3,2,1,1,1,1,2,1,2,3,0,5,0,3,3,9,1,0,1,9,3,3,0,1,1,3,12,17,3,4,2,5,3,0,2,14,3,16,0
drw,16,0,1,13,0,3,7,0,19,1,0,10,1,8,1,0,9,0,4,1,3,8,0,10,5,11,15,15,14,1,13,14,5,0,18,7,3,14,12,18,14,7,12,14,0,9,15,15,15,16,9,16,0,6,7,5,3,0,2,0,0,12,15,20,9,7,0,16,11,11,5,14,14,6,8,15,1,13,9,5,6,13,14,14,15,6,16,18,16,10,3,4,15,0,17,14,1,10,9,13,8,8,14,5,8,0,5,17,5,1,2,13,15,6,7,16,1,15,0,12,0,15,3,9,1,15,12,6,17,16,11,7,17,17,0,13,4,0,20,9,8,4,6,0,0,10,20,0,8,10,17,11,0,9,0,12,6,3,8,2,13,8,12,7,5,10,16,10,17,16,9,0,16,1,15,12,8,0,10,7,7,16,0,12,9,15,1,0,5,0,0,14,7,2,17,12,0,0,16,9,16,10,14,3,15,9,10,15,10,14,13,15,3,7,6,10,12,0,18,15,18,12,17,16,0,8,9,14,8,6,13,1,13,13,4,0,13,9,16,12,10,12,0,0,16,10,2,0,3,0,8,9,15,5,6,0,17,11,5,13,2,18,9,0,13,14,1,2,10,7,10,10,1,14,16,16,9,1,2,7,7,17,16,14,0,5,5,13,9,6,6,1,17,7,6,12,2,7,14,15,2,10,11,12,19,10,0,16,17,8,11,10,6
