language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
acx,5,5,0,9,14,16,9,10,9,9,1,5,15,0,10,2,15,14,0,14,15,6,1,13,8,0,11,9,7,18,10,0,0,14,0,1,0,11,13,0,14,15,7,2,15,3,3,15,12,7,11,14,10,4,11,0,7,10,10,14,0,9,0,13,9,13,14,0,10,0,8,0,8,13,10,9,0,1,6,9,7,13,10,4,7,8,11,10,17,11,0,0,9,0,15,5,15,6,0,5,0,5,8,9,14,6,0,11,10,6,3,11,17,14,12,8,10,0,2,0,3,11,13,15,5,0,2,9,4,0,9,9,14,3,15,10,14,10,2,12,10,1,6,10,13,4,11,14,13,0,0,12,0,13,3,0,4,8,6,13,9,3,0,5,15,10,16,6,14,14,0,0,1,3,0,13,2,15,3,4,8,0,8,8,13,3,6,14,14,9,2,11,14,3,12,11,14,10,16,2,3,10,6,12,13,1,15,1,0,10,0,3,2,7,7,8,4,6,7,8,11,0,9,0,0,13,4,7,2,10,13,5,9,9,7,11,1,10,8,1,14,6,15,12,6,13,0,13,6,14,1,1,15,9,12,13,0,5,1,5,1,12,8,11,7,10,12,16,5,7,0,2,10,7,10,13,9,3,12,11,0,8,16,2,4,10,2,8,3,11,10,9,3,11,8,7,2,13,7,12,0,12,11,14,1,1,11,1,10,10,10,11,14
aer,11,0,0,18,23,10,17,14,7,20,0,11,24,0,18,5,16,21,2,23,20,10,1,22,10,0,16,15,11,19,19,0,0,23,5,10,0,18,19,0,23,2,14,23,22,6,11,23,19,9,18,22,16,0,18,0,13,17,17,17,0,15,11,21,0,21,6,12,13,0,14,3,2,20,17,0,0,9,13,16,2,21,15,0,13,2,16,2,18,17,0,7,11,7,24,0,11,11,0,1,0,7,11,3,23,13,0,17,3,13,1,18,20,22,18,14,23,0,16,0,3,16,1,24,10,0,16,11,7,0,21,7,17,0,19,15,21,4,8,20,0,1,11,19,21,5,18,8,22,0,0,18,0,22,0,4,6,12,11,18,17,1,0,12,22,9,2,0,22,22,0,0,15,9,5,22,2,20,10,5,16,0,14,7,22,3,2,21,21,12,15,20,1,0,16,19,20,7,22,0,12,18,0,13,22,1,24,12,0,5,3,9,7,10,10,11,1,6,12,16,22,0,10,0,5,2,0,0,7,14,21,11,16,6,5,15,1,17,16,20,21,9,24,16,19,22,0,20,4,20,1,6,23,0,21,19,0,10,1,9,12,20,12,0,13,16,21,23,0,12,0,2,4,4,16,21,16,0,18,16,7,16,16,16,9,1,0,2,2,16,1,20,13,20,1,15,0,2,1,18,0,18,18,23,1,8,15,0,14,14,15,0,23
bgm,2,2,3,4,4,3,2,2,4,4,8,11,5,1,2,3,3,3,0,4,5,4,2,4,12,0,3,2,0,5,3,0,0,5,0,1,3,6,4,0,4,6,2,5,3,0,13,4,5,4,4,4,17,2,2,0,16,18,3,4,0,3,13,5,1,3,3,5,3,2,1,0,4,6,5,0,2,3,1,4,5,5,2,7,5,6,3,5,4,5,0,2,4,3,4,0,4,2,2,11,2,0,5,0,4,1,0,2,4,2,1,0,5,4,5,4,5,0,2,0,5,4,3,4,12,0,18,0,1,3,3,15,4,0,6,12,6,6,4,5,1,1,3,2,4,0,2,3,3,0,0,4,4,5,0,0,4,4,2,4,18,1,0,4,4,5,6,2,4,4,0,0,4,3,0,5,3,4,0,0,3,1,4,3,3,5,9,5,6,6,6,2,14,0,2,2,5,4,5,0,1,3,0,2,2,2,4,2,0,2,1,3,4,2,4,0,4,1,1,18,6,0,3,0,0,2,1,0,2,3,5,1,3,3,1,3,1,2,4,3,5,4,4,2,3,4,0,4,11,4,2,1,4,4,5,4,0,2,1,10,2,4,14,3,1,2,3,4,3,14,0,5,3,4,4,2,12,1,2,6,2,2,5,4,1,17,0,5,2,3,5,4,1,2,1,17,4,12,1,1,1,5,2,5,4,1,4,0,5,15,3,3,4
bhv,2,1,5,3,7,6,18,2,4,6,1,2,7,1,4,3,5,6,0,7,4,4,2,4,0,0,6,4,0,4,7,0,0,7,0,1,3,4,6,0,7,7,2,7,7,0,14,7,6,1,3,7,6,2,5,0,15,18,6,7,0,5,12,3,2,6,6,3,5,0,3,0,3,5,4,0,2,3,2,4,5,7,18,8,5,5,3,4,6,6,0,5,5,3,5,2,7,2,0,13,1,0,4,0,7,14,0,2,4,2,1,3,6,4,7,6,4,0,4,0,6,4,6,7,12,0,2,5,1,3,5,14,5,0,8,5,4,2,4,5,4,1,3,4,5,0,2,3,6,0,0,20,5,4,0,5,4,3,2,5,20,2,0,4,7,7,8,0,7,7,0,0,6,4,0,4,2,5,0,0,4,0,6,3,4,5,11,6,5,5,7,5,15,2,4,3,8,4,7,0,1,5,0,4,5,3,7,2,0,2,1,3,6,2,4,12,4,2,1,17,4,0,3,0,0,2,1,0,2,2,4,2,5,3,1,6,1,2,3,6,6,5,7,10,7,6,0,4,5,5,3,1,5,5,4,5,0,2,1,11,2,6,0,3,1,4,6,7,3,15,1,6,3,4,5,5,3,1,5,4,2,20,4,6,1,19,2,5,2,3,4,5,1,3,1,18,2,13,1,4,1,4,3,8,4,0,6,0,4,16,3,5,7
clq,5,0,11,10,15,17,10,9,10,9,5,5,16,0,12,2,9,15,0,15,16,6,1,14,9,0,15,10,0,15,11,0,0,16,0,1,0,12,19,0,15,16,2,16,11,9,7,16,13,7,12,15,11,0,12,4,5,5,10,17,0,10,5,14,10,14,15,9,11,0,9,0,9,9,9,0,0,5,7,10,9,14,11,0,11,8,12,11,12,12,0,12,10,0,16,0,16,6,0,1,0,0,2,11,15,7,0,13,11,7,3,12,16,16,13,12,15,0,1,0,11,16,15,16,5,0,9,0,2,8,15,10,15,4,12,1,15,6,10,15,11,1,10,11,15,0,12,11,15,0,0,13,9,14,2,0,4,8,6,14,10,6,0,5,11,13,17,0,16,15,0,0,1,1,4,14,2,11,7,0,8,0,11,3,14,3,4,10,15,9,11,12,8,3,13,10,15,11,18,0,7,11,0,13,14,1,16,8,0,11,0,0,2,6,1,5,7,8,8,9,16,3,10,0,0,15,5,0,2,1,14,5,10,7,5,8,1,11,12,13,15,6,16,13,15,14,0,14,7,16,1,7,16,10,14,14,0,5,1,7,1,10,0,0,8,11,14,11,5,8,2,10,11,4,11,14,10,3,13,12,0,5,10,11,4,9,4,8,3,8,11,13,3,12,9,8,0,3,1,13,0,14,12,16,1,5,8,2,1,4,0,0,15
cnt,6,0,0,8,13,15,8,7,2,10,3,7,13,0,8,2,2,12,0,13,12,6,1,11,7,3,10,0,5,12,9,0,0,10,0,8,0,7,12,0,13,13,2,13,12,3,6,14,11,6,9,13,8,0,9,0,6,8,13,13,0,1,7,12,8,12,13,0,9,0,6,0,6,12,20,0,0,1,0,7,7,11,9,3,7,12,9,8,11,9,0,11,7,0,14,0,14,7,0,1,4,0,2,3,13,5,0,3,8,5,3,8,15,9,10,11,14,0,8,0,3,10,12,14,7,0,6,0,3,0,12,8,13,0,13,1,13,9,2,2,7,1,8,8,10,2,10,13,9,0,2,11,0,12,0,0,4,8,6,12,8,3,0,5,14,10,15,5,13,12,0,0,9,1,0,12,7,14,4,0,8,0,8,9,12,3,4,13,11,9,10,10,6,4,10,9,13,9,14,1,5,20,0,11,12,1,14,7,0,8,0,0,2,5,1,0,4,6,15,7,12,0,7,0,0,12,0,6,5,9,11,12,8,7,5,10,1,9,11,12,13,7,14,8,12,12,0,11,1,13,6,1,13,2,11,12,4,1,1,5,1,10,7,9,6,9,11,14,5,5,0,9,8,6,9,12,7,3,11,10,0,7,0,10,7,6,0,11,5,8,8,11,5,10,7,6,5,16,1,11,0,10,10,13,7,6,10,1,8,5,9,0,13
cpz,8,4,0,6,11,14,7,8,8,12,4,6,12,0,10,2,8,11,0,12,11,6,1,10,6,0,10,8,4,11,8,0,0,12,0,7,6,10,11,0,12,11,6,12,14,8,3,12,10,1,8,12,6,3,10,0,9,7,12,12,0,8,6,11,6,10,11,0,9,0,6,0,6,10,19,0,0,1,5,7,8,19,2,3,9,10,8,9,1,9,1,10,8,0,12,4,13,8,0,1,3,0,2,3,12,3,0,10,3,0,3,9,14,11,11,10,12,0,6,0,10,9,10,12,6,0,16,0,2,0,11,7,11,0,13,1,11,8,2,11,9,1,1,7,12,2,9,12,12,0,0,10,0,11,0,0,4,9,6,11,7,3,0,8,13,10,14,0,12,11,0,0,1,1,3,11,2,13,4,0,9,0,8,8,11,3,6,12,13,9,10,9,5,0,9,8,12,8,13,0,5,19,0,10,10,1,12,1,0,8,0,0,2,5,4,7,5,7,14,5,14,0,6,0,3,11,3,6,4,8,10,6,8,7,5,8,6,8,10,11,11,7,12,8,10,10,0,10,5,11,4,5,12,2,11,10,0,1,1,5,6,10,0,8,1,8,9,13,5,7,2,9,15,4,1,10,6,3,9,2,0,7,18,10,6,8,0,10,4,10,9,11,5,9,6,5,6,15,1,10,0,11,9,12,7,1,9,1,1,9,8,10,12
des,11,0,0,17,22,9,16,13,2,19,4,2,23,0,17,2,15,20,0,22,8,7,1,21,0,0,15,15,10,18,18,0,0,22,0,9,0,17,18,0,22,22,13,22,21,6,10,22,18,7,17,21,15,0,17,5,12,16,0,20,0,14,10,20,0,20,19,11,12,0,3,0,2,19,16,6,0,8,4,15,12,20,10,0,12,17,15,15,17,16,0,18,14,3,23,7,10,10,0,9,5,6,10,3,22,12,0,16,14,12,1,17,2,21,9,13,22,0,15,0,17,12,9,23,3,0,15,10,7,0,20,3,16,0,0,14,9,4,8,19,14,1,0,18,20,3,18,19,21,0,0,17,15,21,6,0,3,7,10,17,12,11,3,6,21,9,22,8,21,21,0,0,14,1,0,21,10,9,0,0,0,0,3,3,21,3,2,20,14,11,14,19,13,5,15,18,19,13,21,0,11,17,0,19,21,8,23,11,0,15,3,8,2,7,1,0,12,8,7,15,21,0,1,0,4,20,9,0,6,6,20,10,6,13,5,14,8,16,15,19,12,0,23,15,18,21,0,19,9,19,10,9,22,4,20,18,0,1,1,5,11,19,11,16,1,15,20,22,0,11,0,2,15,7,8,9,15,0,17,15,6,15,15,8,1,14,0,15,0,15,15,19,12,19,16,14,0,10,1,17,0,8,13,22,1,1,14,1,13,13,6,15,22
dfs,5,6,0,15,20,21,14,6,2,17,7,8,21,0,16,6,13,19,0,20,14,8,1,19,0,0,10,14,6,13,16,0,3,20,0,7,0,15,17,0,20,14,11,20,19,3,3,21,16,1,10,20,13,0,16,0,10,14,16,18,0,1,8,18,13,18,20,10,9,0,7,2,11,17,14,8,0,1,11,7,7,18,13,0,10,15,10,8,15,14,0,16,3,0,21,0,21,6,0,1,0,0,9,8,20,10,0,15,9,10,3,15,12,20,16,8,20,0,13,0,16,15,19,21,1,0,13,0,2,0,19,12,10,0,12,1,19,12,2,18,13,1,2,16,18,2,17,17,19,0,3,16,14,19,2,0,4,8,9,10,15,5,0,9,19,16,12,0,19,13,2,0,1,6,0,19,2,18,6,0,15,4,10,3,19,3,7,18,20,10,2,17,11,3,11,16,17,6,15,0,6,15,0,17,19,3,21,10,0,7,0,0,2,9,1,0,4,6,11,13,15,0,8,0,0,19,0,8,2,1,12,5,14,8,8,1,1,6,18,17,20,6,21,13,17,19,0,8,4,9,8,1,20,2,18,17,0,2,1,6,10,17,0,14,12,7,18,21,5,17,3,15,14,4,14,19,18,5,16,2,0,13,14,15,4,9,0,8,8,8,7,17,6,17,14,11,0,8,1,16,0,14,16,20,1,4,13,1,9,14,14,0,20
fuy,3,0,1,0,1,0,8,1,1,0,0,2,1,1,6,1,0,0,0,1,1,1,1,1,10,1,1,2,0,1,0,0,0,1,0,4,0,2,1,0,1,1,1,1,1,2,1,1,1,0,18,1,10,2,9,2,8,2,2,1,0,0,1,1,3,7,1,1,1,0,1,0,1,1,1,2,1,1,7,1,1,7,1,0,1,1,1,1,0,1,0,0,1,2,1,1,1,0,0,0,0,5,0,2,1,0,0,1,1,4,1,4,1,1,1,8,1,0,0,0,1,1,0,1,4,0,1,2,2,1,1,0,1,0,2,2,1,1,1,1,12,0,4,3,0,1,1,0,0,1,0,1,1,1,0,1,2,0,1,1,0,0,1,2,1,1,1,1,1,1,0,1,13,8,1,1,1,1,1,0,11,0,2,1,0,2,0,1,1,1,1,0,8,1,0,4,1,0,1,0,11,1,2,6,11,1,1,5,0,0,0,4,1,5,3,2,4,2,3,6,1,0,0,0,0,0,1,0,0,1,1,9,6,1,2,0,2,1,0,0,1,1,1,1,1,1,0,1,0,1,8,0,1,1,1,1,0,10,2,7,1,1,2,2,2,15,3,1,1,0,0,1,8,1,0,0,13,3,15,1,1,0,1,1,0,0,3,1,2,0,5,1,5,1,0,13,1,2,4,0,0,1,8,1,2,0,1,1,0,1,1,14,1
