language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
ado,0,1,21,12,16,9,20,4,21,14,15,11,9,0,5,1,18,23,1,13,17,0,22,16,21,4,16,13,9,5,6,20,0,17,14,0,22,0,7,10,4,7,10,0,0,17,14,6,5,20,9,17,15,10,5,18,20,18,19,0,0,16,16,0,4,7,15,8,17,8,1,0,7,19,9,3,1,7,22,15,17,17,0,0,7,10,0,0,12,20,8,12,12,1,7,20,1,5,0,0,0,16,22,0,1,8,15,22,19,19,20,12,4,8,1,16,3,13,0,23,2,21,2,19,11,2,0,5,19,6,0,23,5,0,4,5,17,18,20,0,16,8,18,3,22,23,0,18,15,17,13,4,12,0,3,0,11,19,23,7,12,16,9,9,18,6,22,3,1,5,10,13,0,0,6,15,14,1,0,15,0,16,21,0,20,20,22,11,8,0,22,17,11,3,0,19,4,18,15,23,19,17,20,15,0,19,21,2,16,0,16,10,22,14,17,15,14,14,4,22,0,19,18,0,0,19,1,0,0,11,19,0,13,19,9,4,22,0,0,4,19,1,0,16,20,9,0,15,0,0,14,0,5,1,10,11,16,16,0,7,19,3,1,3,3,6,15,0,5,0,16,11,7,16,16,1,0,8,3,16,9,0,1,17,18,7,0,20,5,20,22,6,15,4,20,13,19,0,1,15,11,3,0,2,1,1,17,13,14,11,10,10,7
ahl,0,1,13,3,9,0,12,14,14,7,4,7,3,0,7,4,12,13,12,0,11,0,13,10,12,6,12,12,16,12,10,12,0,12,6,0,13,9,2,5,4,5,4,0,0,10,7,16,1,12,6,4,9,6,16,12,11,8,10,0,0,10,10,0,1,13,11,3,10,20,1,17,2,8,3,0,9,6,13,2,8,10,2,3,5,3,0,15,8,7,5,2,7,0,4,13,6,9,6,2,0,10,14,1,2,5,9,14,12,10,12,14,8,3,1,8,0,6,0,14,0,14,0,19,5,0,0,15,9,13,0,13,15,0,11,13,8,12,12,0,12,3,13,13,12,13,0,12,11,11,12,1,5,1,0,0,7,10,13,0,9,10,0,0,6,0,13,4,3,11,5,19,0,13,2,8,7,5,6,10,0,8,13,3,12,13,14,6,5,0,13,6,4,0,0,1,5,9,10,13,10,8,11,4,0,14,13,17,6,0,12,0,13,9,10,0,11,2,10,13,0,12,10,1,0,3,7,1,0,1,13,2,2,13,4,13,14,0,0,4,6,1,0,12,11,5,4,8,5,0,7,0,9,3,0,8,9,5,0,1,7,14,2,3,5,4,8,0,12,0,11,0,16,11,12,3,4,0,14,12,1,0,6,11,7,3,2,14,3,12,13,14,10,4,13,8,9,6,4,0,5,0,0,0,11,0,10,4,9,15,3,2,5
amq,0,1,18,10,14,8,0,17,17,4,14,2,8,0,12,3,14,18,9,10,14,0,18,22,18,0,17,3,13,8,20,6,0,14,16,0,18,4,2,9,8,1,14,0,0,16,11,11,1,16,4,14,12,1,18,6,15,14,15,4,2,13,5,0,1,18,3,5,14,5,1,4,0,7,8,0,2,2,19,11,12,16,0,1,1,5,0,12,12,17,0,9,4,0,0,18,4,13,10,5,0,13,19,2,1,3,20,19,16,16,17,5,17,7,1,9,0,3,0,20,0,19,0,7,7,0,3,18,16,7,0,20,4,0,0,9,6,4,18,0,4,7,16,8,18,20,0,14,6,8,18,3,9,1,0,0,0,16,20,2,4,7,0,3,12,0,18,5,12,4,7,10,0,15,3,0,11,6,3,9,0,4,6,3,17,17,19,9,14,4,19,13,3,0,0,0,6,14,14,20,16,7,17,13,0,7,19,12,13,0,7,8,19,4,16,14,14,9,0,19,7,4,14,1,5,3,1,0,2,14,17,2,6,15,6,8,8,4,0,0,17,1,0,19,17,0,6,2,0,0,5,0,3,2,8,6,14,14,0,1,12,18,3,5,0,0,11,0,18,0,14,8,4,20,15,3,5,4,10,8,4,0,10,14,14,4,0,17,2,16,19,18,14,3,17,0,16,0,4,0,2,0,0,0,7,1,15,4,3,1,7,5,1
amx,0,1,4,4,4,1,6,1,5,16,17,15,0,0,1,11,1,6,4,0,5,0,5,2,6,0,5,5,15,1,8,4,1,4,4,0,4,4,3,3,2,1,3,0,0,5,4,9,1,5,2,6,3,0,8,4,5,1,5,1,0,5,6,0,1,5,1,4,2,1,1,1,0,6,3,0,17,0,4,1,0,5,4,1,2,4,0,10,1,5,0,1,2,0,0,8,1,3,0,2,0,6,5,0,2,0,2,5,5,3,5,4,5,1,1,1,0,0,0,5,0,5,3,5,0,0,0,9,5,19,0,5,7,1,0,6,4,6,7,0,6,8,5,5,5,5,0,5,3,7,6,1,1,1,1,0,1,2,5,0,2,6,0,2,3,5,4,1,4,4,1,1,3,6,0,3,5,3,2,5,1,6,4,3,4,5,5,15,7,0,5,4,1,0,0,6,3,2,4,5,4,3,6,3,0,5,6,7,4,5,5,1,5,3,3,2,11,10,0,5,0,6,1,1,2,17,1,0,0,4,5,3,3,4,0,5,6,0,0,5,0,1,0,4,6,2,0,0,0,0,3,0,1,1,12,5,7,3,0,1,1,7,2,0,0,0,3,0,5,1,2,3,1,4,6,3,4,2,2,5,1,0,3,6,8,0,0,5,0,4,5,2,2,2,5,2,1,1,4,5,1,0,0,0,5,0,1,5,2,4,12,2,3
bek,0,1,16,7,9,0,15,18,11,10,12,8,5,0,9,9,13,16,15,7,12,0,15,13,15,0,10,7,9,13,18,12,0,7,6,3,15,9,2,5,4,1,1,0,0,14,9,16,1,12,6,4,9,0,4,13,0,11,11,0,0,8,12,0,2,14,8,3,11,14,1,13,0,14,3,0,12,5,15,8,10,13,0,3,5,5,0,13,9,15,0,6,0,0,6,15,6,1,6,6,0,11,12,1,2,0,11,16,13,13,14,16,15,5,1,11,0,9,0,12,0,16,0,14,5,0,0,13,12,15,0,16,16,0,15,0,14,14,15,0,12,16,7,11,15,16,0,8,12,11,15,1,7,2,0,0,4,13,15,0,10,11,0,4,9,0,15,1,3,7,2,21,0,12,4,11,7,1,6,12,3,8,16,3,14,14,16,0,7,0,16,11,8,0,0,16,1,11,6,16,14,8,14,10,0,15,16,17,6,7,3,0,16,18,13,10,2,7,0,16,0,14,12,1,0,13,7,1,0,10,10,2,2,8,0,12,16,0,0,8,13,6,0,14,14,0,4,9,0,0,10,0,10,3,0,8,13,10,0,1,9,16,3,2,5,4,3,0,15,0,12,0,14,14,4,3,2,0,17,7,1,0,8,12,11,3,2,15,3,3,16,16,12,1,11,9,12,4,4,18,7,0,0,0,5,0,12,4,11,14,3,2,1
bgw,0,1,19,0,14,15,18,3,19,16,18,0,0,0,13,13,16,21,10,11,15,0,20,14,19,0,14,14,7,16,5,18,0,15,12,0,20,11,6,11,6,1,1,0,0,19,12,4,4,19,8,15,13,8,14,16,18,16,17,0,0,1,14,0,0,19,13,1,15,6,5,16,6,17,10,3,14,6,20,13,13,20,0,0,6,6,0,6,18,18,4,10,10,0,0,6,1,14,2,0,2,14,20,0,1,6,13,20,17,17,18,11,18,9,0,9,0,11,0,21,1,23,2,17,5,0,0,3,17,4,0,21,17,0,3,16,18,16,19,0,15,17,17,2,20,21,0,16,1,16,19,1,10,0,2,0,8,17,21,0,3,14,7,3,13,7,21,6,1,13,8,12,0,15,0,14,12,7,0,14,4,14,19,3,18,18,20,12,13,5,20,15,10,0,3,17,1,16,16,21,6,15,18,14,0,20,19,1,14,10,17,9,20,13,19,16,15,12,5,20,9,17,16,0,0,18,10,0,3,16,20,0,11,17,7,9,20,4,0,9,18,1,0,15,18,7,0,13,0,0,13,0,14,7,9,4,5,13,0,8,13,4,2,0,0,5,13,2,19,0,15,0,5,15,18,1,0,6,11,0,8,0,11,18,16,6,0,18,5,18,20,4,16,4,18,11,17,8,8,13,11,2,0,0,15,2,16,11,13,14,8,11,2
bit,0,1,9,3,7,0,7,11,9,12,7,5,1,0,3,6,7,4,1,5,9,2,8,5,9,4,9,8,18,9,13,8,0,8,16,0,7,4,2,7,1,2,6,0,0,3,1,14,1,9,11,4,3,2,13,9,21,3,20,0,0,18,8,0,1,9,6,3,6,15,1,7,1,9,5,0,5,3,8,6,2,8,3,2,3,7,0,9,4,10,0,3,0,0,0,6,1,7,6,2,1,4,8,0,2,4,5,8,0,6,7,16,10,3,1,4,2,0,0,7,0,8,0,11,13,0,2,10,22,8,0,8,9,0,0,10,10,7,9,0,11,1,9,9,6,8,0,9,8,10,7,1,6,1,1,0,5,5,9,0,5,19,4,6,15,0,9,3,6,8,4,4,0,10,0,5,4,4,4,9,2,4,7,6,8,10,8,3,13,0,8,8,9,0,0,9,3,4,6,8,7,10,8,6,2,10,12,11,6,0,9,4,8,1,5,7,4,8,0,7,0,8,4,1,0,7,3,0,0,6,4,8,2,10,0,7,4,5,0,6,7,4,0,9,0,7,2,4,1,0,6,0,4,4,5,7,8,6,0,1,5,9,2,3,7,3,6,0,19,0,6,0,18,7,8,3,3,5,12,9,7,0,11,9,4,3,3,9,1,6,8,7,7,1,18,4,5,0,4,1,3,0,0,0,9,2,4,7,4,14,6,6,1
bvy,0,1,14,3,4,1,4,15,4,3,4,1,8,0,19,16,2,5,4,0,4,1,4,1,5,4,4,4,14,1,4,3,1,3,3,1,3,5,7,1,4,1,2,0,0,4,4,8,1,6,2,5,4,0,7,3,5,0,6,0,0,6,4,0,3,4,0,4,1,0,4,2,0,5,4,0,18,0,5,0,10,4,2,1,2,3,0,8,0,4,0,0,1,0,0,4,1,2,0,3,0,5,4,4,1,2,1,4,4,21,4,4,5,0,1,0,0,1,0,4,0,4,4,4,0,0,0,7,4,18,1,4,6,1,8,7,4,5,6,0,5,13,4,7,4,4,0,4,4,6,5,1,1,1,2,0,2,14,4,0,1,5,2,0,2,4,5,6,3,6,1,0,0,5,0,2,6,1,1,6,1,5,3,3,3,4,4,14,0,0,4,5,0,1,0,4,1,0,3,4,3,4,4,3,0,4,5,6,5,5,4,12,4,2,2,1,5,5,7,4,0,5,0,1,0,16,1,0,0,13,17,7,4,5,0,3,5,3,0,5,5,8,0,5,5,0,1,0,0,0,3,0,0,0,0,3,6,4,0,1,0,5,2,0,4,0,4,0,4,0,1,0,0,3,5,3,2,1,6,4,1,0,4,5,0,1,0,4,0,18,4,1,1,0,4,1,0,0,5,6,0,1,0,0,6,0,0,6,1,3,5,4,1
div,0,1,22,13,17,10,21,5,22,15,16,12,10,0,15,10,19,24,1,8,1,0,23,2,22,3,13,13,17,18,7,21,0,18,15,4,23,12,1,10,0,1,10,0,0,18,1,7,5,18,10,18,16,7,5,5,17,19,16,0,0,17,17,0,4,21,16,10,18,9,1,18,5,20,11,3,16,2,23,12,15,18,0,0,8,11,3,20,13,21,9,13,13,1,9,21,1,16,3,0,0,17,23,3,1,8,16,23,15,20,21,10,4,8,1,17,3,14,0,24,0,22,2,20,8,0,0,6,20,13,0,24,19,0,2,5,20,19,0,0,17,12,19,4,23,24,0,19,16,15,20,4,11,1,0,0,5,20,24,8,8,17,10,9,19,9,23,7,1,15,11,14,0,9,7,16,1,6,6,9,0,17,22,0,21,21,23,16,13,5,23,14,1,0,0,20,8,7,18,24,17,18,21,16,3,19,0,0,17,12,19,11,23,15,18,18,9,9,6,23,8,20,19,1,0,20,1,0,0,15,20,0,10,20,10,11,23,0,0,5,20,1,0,17,20,10,0,16,0,0,15,0,13,1,11,12,17,16,0,7,20,3,2,4,3,8,12,0,21,0,17,0,8,17,17,1,0,0,2,17,10,0,11,19,19,8,0,21,5,21,23,5,18,0,21,14,20,8,4,16,8,4,0,3,1,0,18,14,19,12,11,3,9
dsv,0,2,7,3,5,4,8,12,7,19,8,3,16,0,4,0,5,10,8,4,7,2,9,6,23,1,8,10,19,7,11,9,0,6,18,5,8,4,2,7,1,2,5,0,0,8,5,15,1,11,12,8,7,3,14,8,7,4,0,0,0,19,8,0,1,10,4,3,7,17,1,8,0,10,3,0,3,4,9,3,4,19,3,2,3,3,0,19,5,11,0,4,5,0,0,8,1,5,6,2,1,8,9,0,2,4,12,9,7,7,8,7,11,11,1,5,0,0,0,9,2,9,0,9,11,0,2,0,23,10,0,9,12,0,10,0,11,10,10,0,10,5,10,10,9,9,0,12,5,4,8,1,1,1,1,0,5,6,10,0,3,18,5,0,5,0,8,3,6,8,4,5,0,11,0,0,4,4,3,8,0,10,9,7,9,11,10,4,1,0,9,6,9,0,1,10,1,5,6,9,8,6,9,4,0,8,9,9,9,0,3,6,9,12,7,8,5,0,0,9,2,8,5,1,4,8,4,0,0,7,8,3,2,11,0,3,10,5,0,0,9,3,0,8,8,7,2,5,0,0,4,0,5,5,0,3,8,5,0,1,6,12,2,1,5,0,3,0,8,0,7,5,19,0,9,3,2,5,0,9,5,0,13,7,5,3,3,10,2,7,9,13,8,1,9,5,3,3,4,8,3,0,0,0,8,4,5,7,19,14,3,2,1
