language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
acx,7,0,1,13,12,2,4,13,2,14,13,10,14,11,15,3,11,12,13,10,11,1,14,11,4,3,1,0,10,13,12,13,12,4,0,14,4,12,13,14,8,15,15,0,15,12,10,15,0,14,10,11,8,14,0,3,3,13,12,12,14,11,14,15,8,13,5,14,3,16,13,9,12,13,14,0,10,12,13,10,12,0,12,2,1,14,7,12,14,12,16,12,13,15,8,15,12,0,14,12,9,0,0,13,15,12,8,14,0,11,15,11,0,8,14,2,8,13,7,0,10,6,0,5,15,1,12,14,2,4,15,15,5,0,0,13,13,11,3,9,10,8,13,9,8,15,0,14,7,4,7,14,7,13,14,9,14,9,13,5,16,0,13,14,15,0,11,10,7,2,0,9,13,13,9,0,14,12,9,13,4,13,0,13,1,12,0,2,14,14,15,15,11,0,12,8,0,11,0,14,3,11,0,14,2,1,16,2,11,4,15,14,14,7,0,7,10,9,14,14,0,4,14,0,6,12,14,13,12,12,0,10,7,9,2,9,12,11,9,12,7,10,2,10,9,8,6,9,11,12,2,11,14,12,0,8,4,9,14,0,0,16,10,3,15,12,13,0,15,12,15,14,10,11,0,2,10,9,10,0,13,7,16,11,6,0,13,11,14,9,13,7,14,15,15,14,10,0,9,0,15,9,10,10,2,10,7,5,9,12,15,0,8
aer,0,0,1,2,17,9,11,22,5,18,16,16,20,19,24,0,18,19,18,15,15,1,21,19,2,0,1,0,17,22,17,21,7,2,0,9,1,19,21,22,19,6,23,0,24,20,18,24,11,23,20,19,3,21,0,0,0,14,20,14,23,19,23,24,10,21,9,23,13,24,21,12,2,22,20,0,17,19,22,19,21,14,17,2,1,23,11,21,9,21,24,18,17,23,16,14,21,0,21,18,11,0,0,21,24,0,5,23,17,17,23,17,0,11,23,10,15,19,12,0,4,3,0,2,23,9,18,22,17,1,21,22,3,0,5,20,18,19,0,17,18,9,19,16,16,20,5,23,11,0,0,22,2,20,23,19,4,16,2,10,15,0,20,9,24,0,19,15,17,2,0,14,18,22,17,0,22,7,7,16,6,21,0,17,1,1,0,15,23,8,23,24,17,8,18,16,0,19,0,20,7,20,0,23,17,1,24,10,19,16,24,19,23,13,0,11,15,12,21,21,0,0,19,12,3,18,23,21,18,18,0,13,6,20,6,0,2,8,14,0,13,22,5,2,19,17,12,17,22,17,2,1,23,19,0,13,0,18,23,0,7,2,22,0,24,21,18,2,23,21,24,23,18,15,0,11,17,21,16,12,22,13,22,7,9,10,22,16,19,13,20,19,11,24,10,20,16,0,6,0,23,13,17,1,2,15,18,2,20,19,20,0,18
bgm,4,2,4,5,5,4,2,4,3,5,4,2,4,17,4,0,5,5,5,5,4,1,3,5,2,0,5,0,19,3,3,3,4,4,0,5,0,5,4,4,3,5,4,0,4,4,2,4,4,5,3,3,0,4,0,2,0,2,5,5,4,10,4,4,6,5,0,4,4,5,4,5,2,3,4,0,5,3,4,20,5,4,5,4,2,4,4,3,4,3,4,4,4,4,4,4,5,1,5,19,4,0,0,3,4,0,0,4,6,6,5,1,0,4,4,1,3,4,5,0,0,2,0,0,4,3,4,4,6,1,4,4,0,3,0,4,3,3,0,20,3,5,4,5,6,5,3,4,4,1,4,5,5,5,4,2,3,5,5,1,4,1,4,3,4,5,5,0,4,2,0,5,5,5,0,7,3,5,5,5,0,5,0,5,2,5,0,6,4,3,4,5,4,5,6,4,0,2,0,5,0,2,0,4,5,1,6,4,4,4,5,5,4,2,0,3,16,2,5,5,0,0,5,4,0,3,4,4,5,3,0,4,1,4,5,4,5,3,5,5,4,4,2,4,4,5,2,19,4,4,4,5,4,4,0,2,3,5,4,3,3,5,5,0,4,3,6,0,5,2,4,4,20,5,0,7,5,3,2,6,3,2,4,5,2,4,4,7,5,5,4,5,4,4,4,2,19,2,4,2,5,5,3,3,1,3,19,4,5,4,5,2,3
bhv,4,2,4,6,7,5,0,6,0,6,6,2,6,4,7,0,4,4,6,7,4,3,4,5,2,0,6,0,22,5,3,6,4,4,0,5,0,6,3,7,2,7,7,0,7,4,2,7,4,8,6,4,0,5,0,2,0,8,4,6,7,21,7,7,9,6,10,6,4,7,5,0,5,5,5,0,6,4,5,21,3,5,5,5,4,7,4,6,5,2,7,4,7,7,3,7,4,1,6,1,4,0,0,6,7,12,0,5,5,4,4,1,0,4,7,1,3,6,6,0,3,2,0,0,7,3,6,6,8,1,5,4,0,3,0,6,4,4,0,19,4,11,6,7,4,7,3,7,4,1,4,6,5,7,7,5,6,6,6,1,7,1,6,3,7,4,4,0,4,2,0,4,3,4,0,0,6,6,5,4,0,4,0,4,4,4,0,7,7,4,5,4,6,4,7,5,0,5,0,7,0,3,0,7,7,1,8,6,4,5,7,7,7,0,0,6,18,2,6,6,0,0,5,4,0,3,7,4,5,3,0,6,1,7,5,4,5,3,6,5,6,6,2,4,2,5,2,20,7,7,4,4,7,4,0,2,3,5,7,3,3,8,4,0,5,4,7,0,7,5,7,5,5,8,0,4,6,5,2,7,5,4,7,5,2,4,5,7,4,5,5,21,7,7,5,3,18,4,3,2,6,5,3,3,1,3,20,4,7,4,4,2,4
clq,7,0,7,14,11,2,4,16,2,4,2,11,15,12,16,3,13,14,2,10,12,3,15,14,2,0,13,0,11,14,13,14,2,12,0,15,4,14,15,15,12,16,17,0,16,13,11,16,0,15,11,12,10,16,0,5,4,8,14,9,15,6,15,16,9,14,6,15,3,17,14,9,14,14,6,0,14,14,14,11,13,11,2,8,1,15,8,13,15,13,17,13,10,17,11,16,13,0,16,13,8,0,0,14,16,0,0,15,12,14,16,1,0,0,15,2,11,10,8,0,11,4,0,2,16,1,9,16,12,1,16,16,3,0,4,9,14,13,0,10,10,10,14,12,9,12,0,15,2,3,7,16,9,14,15,12,15,10,2,6,17,2,15,15,16,0,8,0,11,2,0,10,14,14,11,5,15,11,10,9,0,15,0,8,1,14,0,11,15,10,17,17,12,0,13,8,0,12,0,11,3,12,0,15,2,1,18,2,12,12,16,15,15,8,0,4,3,3,15,15,0,6,15,8,0,8,15,14,13,10,0,1,9,14,2,10,13,12,10,13,1,15,2,7,13,8,6,10,15,13,2,1,15,14,0,7,0,14,15,0,0,17,15,0,16,13,14,0,16,13,16,15,12,13,0,8,11,14,11,4,14,8,17,13,7,0,14,12,15,10,14,14,15,17,16,15,11,9,11,0,16,10,11,11,2,10,10,6,13,13,9,0,13
cnt,8,0,6,12,9,8,6,12,2,8,2,9,13,10,13,0,10,11,11,10,9,1,13,2,2,2,11,0,5,12,11,12,11,11,0,12,4,10,12,13,11,13,13,0,13,11,9,13,0,11,21,10,3,11,0,3,3,7,11,9,13,9,13,13,0,11,5,13,3,14,12,8,11,12,12,0,12,11,12,9,11,9,2,7,7,13,1,10,13,9,12,9,11,13,8,9,11,0,7,10,7,0,0,12,11,0,7,12,11,11,14,1,0,0,13,2,7,10,2,0,8,5,0,2,13,1,11,13,15,1,12,13,3,0,0,12,12,9,0,7,10,9,12,9,2,14,0,13,2,3,7,12,8,12,13,9,12,8,11,5,13,0,12,12,13,8,10,8,8,3,0,2,10,12,7,0,12,8,2,12,0,9,0,11,1,9,0,10,13,13,13,14,10,0,11,10,0,10,0,12,4,9,0,13,2,1,15,2,10,11,14,3,13,6,0,6,8,7,13,13,0,4,12,0,5,11,13,12,10,9,0,8,8,13,2,8,11,3,0,0,1,13,2,9,10,11,6,7,14,9,8,9,13,11,0,6,0,13,13,0,0,15,13,0,14,11,12,0,11,11,14,13,9,11,0,7,9,12,1,11,12,5,12,10,6,6,12,10,13,2,12,10,13,14,14,11,9,0,0,0,2,9,7,9,2,9,7,2,12,9,13,0,12
cpz,10,0,5,11,10,2,4,11,2,12,11,8,11,9,12,0,10,9,11,10,10,1,11,9,2,2,12,0,7,10,10,11,10,9,0,11,1,10,11,12,10,11,12,0,12,9,8,12,11,13,20,9,3,13,0,3,3,2,11,11,12,8,12,12,0,11,5,11,3,12,11,8,9,10,11,0,11,10,10,8,10,0,11,2,6,12,6,11,11,11,14,8,12,12,9,10,10,0,12,8,7,0,0,11,13,0,0,11,10,12,13,10,0,0,12,8,5,12,2,0,6,4,0,2,12,1,9,11,11,1,14,11,3,0,0,11,11,8,0,11,12,8,10,11,7,12,0,12,2,3,7,11,7,11,12,11,11,2,9,5,12,0,11,12,12,7,9,9,8,2,0,8,9,11,6,0,11,10,2,11,0,11,0,10,1,11,0,10,12,12,12,12,8,0,2,8,0,8,0,13,3,0,0,12,11,1,13,2,9,10,12,12,12,6,0,4,3,6,12,12,0,5,9,0,5,10,11,11,2,8,0,9,7,11,7,7,10,10,0,11,9,12,2,8,12,10,8,6,13,9,8,8,12,10,0,6,0,10,12,0,0,14,12,0,12,10,10,0,13,10,12,12,8,11,0,7,9,11,8,10,11,6,14,2,6,6,11,9,12,2,11,12,12,12,12,10,8,0,8,0,13,9,9,8,2,8,9,2,9,11,11,0,10
des,2,0,1,19,16,0,10,21,2,17,8,15,20,18,23,0,17,18,9,14,14,8,20,18,2,0,16,0,16,21,16,20,18,15,0,20,1,18,20,21,18,23,22,0,23,19,17,23,10,22,18,18,3,20,2,0,6,2,19,13,22,18,22,23,0,2,8,22,12,23,7,2,2,21,19,0,2,18,21,18,20,7,9,10,10,22,10,20,9,20,10,17,16,22,1,13,20,0,20,17,5,5,0,20,23,10,11,22,16,9,22,16,0,10,22,2,14,18,11,0,13,10,0,2,22,8,17,21,13,1,20,21,7,0,0,19,17,18,0,16,17,10,18,15,15,10,0,22,2,5,9,21,2,19,22,18,16,15,18,1,14,0,19,21,23,0,18,6,16,2,0,2,17,21,16,0,21,7,14,15,5,20,0,2,5,18,0,14,22,7,22,23,16,7,17,15,0,18,0,19,0,19,0,22,16,1,23,2,18,15,23,18,22,1,0,10,14,3,14,2,0,0,18,0,0,17,22,20,17,17,0,12,13,19,10,13,16,0,0,17,12,21,2,13,18,16,11,16,21,16,13,14,22,18,0,12,0,17,22,8,0,23,21,6,23,20,17,2,22,20,23,22,17,14,0,10,16,20,15,14,21,12,21,7,5,0,21,15,18,12,19,2,21,23,9,7,15,10,6,0,22,7,16,15,2,14,17,7,19,18,19,0,18
dfs,7,0,1,9,9,2,4,19,2,13,12,0,17,16,21,4,9,17,2,13,0,6,6,17,2,0,1,0,15,19,15,18,16,9,0,13,4,16,18,19,16,21,14,0,21,18,7,21,0,20,16,16,3,10,0,4,5,12,10,9,20,16,20,21,0,19,5,20,10,15,19,11,18,19,13,0,13,8,19,16,18,10,15,2,9,20,1,18,18,18,22,16,15,21,15,11,18,0,19,11,7,0,0,9,21,9,0,20,0,13,20,14,0,0,20,2,13,17,2,0,0,4,2,2,20,7,16,19,15,1,11,19,3,0,0,17,16,10,0,14,16,9,16,13,13,19,0,20,9,3,7,19,7,17,20,16,20,13,12,9,21,0,21,11,21,0,16,13,14,2,0,15,12,19,15,6,19,14,12,9,0,18,0,15,1,16,0,2,20,19,21,21,15,0,16,14,0,16,0,17,6,17,0,20,15,1,11,2,16,6,21,17,20,11,0,4,19,8,19,19,0,4,17,11,5,8,20,18,19,16,0,1,7,9,2,6,15,16,13,15,1,19,4,14,16,15,10,15,20,9,9,13,20,6,0,2,0,15,20,0,6,21,10,0,21,18,15,0,20,18,21,20,22,11,0,2,15,13,14,13,19,5,20,2,6,0,19,14,20,2,17,9,19,21,20,13,13,8,14,0,2,12,14,14,2,12,15,2,17,17,14,2,8
fuy,5,3,1,1,1,1,11,1,0,1,1,10,0,0,1,0,1,1,1,2,2,0,1,1,1,0,2,2,1,1,1,0,1,1,0,1,1,1,0,1,9,1,1,0,1,1,0,1,2,1,1,0,2,1,0,1,0,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,16,1,0,1,0,1,1,1,10,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,2,2,1,2,1,1,2,0,2,1,1,10,1,1,0,11,0,0,0,1,2,1,1,1,1,1,1,2,0,1,1,5,1,0,1,6,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,16,1,1,0,1,1,0,1,1,2,1,2,1,1,0,1,1,1,0,2,2,1,1,1,2,1,0,1,0,0,0,1,1,0,1,1,1,1,1,8,0,1,0,1,0,12,0,1,1,1,1,1,1,1,1,1,1,6,0,0,1,1,1,1,0,2,1,2,5,1,1,2,1,15,0,0,2,1,1,2,1,0,2,2,2,1,1,1,5,0,1,0,1,1,1,0,1,1,0,1,2,2,1,2,2,1,1,0,1,0,1,0,1,21,1,1,1,1,0,1,2,1,2,2,1,1,1,1,0,2,1,1,1,1,1,1,1,1,8,0,1,1,1,2,1,2,1,0,0,0,1,1,1,1,1,0,18
