language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
abx,0,3,4,0,0,14,0,7,11,9,0,6,8,8,11,8,3,4,10,10,0,11,11,7,9,0,12,0,0,0,1,13,8,10,9,9,11,12,10,8,8,14,12,14,11,11,3,10,9,7,11,9,0,0,0,8,0,5,0,0,11,11,4,8,3,9,8,9,9,7,10,0,6,10,12,8,13,8,0,18,9,7,0,9,1,12,7,10,0,10,6,11,8,4,9,19,11,13,11,7,10,13,12,10,14,14,13,10,10,11,12,13,12,10,5,11,8,12,8,8,2,0,9,0,13,0,2,0,12,9,10,0,10,11,13,11,16,4,11,10,10,0,8,8,6,1,12,16,4,12,9,6,0,7,12,11,4,1,6,13,8,11,14,8,10,13,13,9,14,11,12,12,11,13,8,0,11,1,7,0,5,11,10,11,0,11,9,13,6,8,11,0,13,9,3,6,0,11,14,13,6,9,12,9,9,9,1,0,9,12,11,9,9,10,11,14,9,8,6,9,8,9,5,9,0,0,12,9,0,3,0,11,1,10,0,1,0,4,13,12,12,11,11,1,10,10,0,21,7,14,0,9,0,10,12,8,11,0,10,7,12,12,4,10,11,4,5,6,9,0,13,10,0,10,11,9,10,10,6,8,8,13,9,6,6,1,12,0,11,0,12,11,6,7,9,0,7,11,8,9,0,18,22,7,8,13,11,11,15,6,12,13,10
aeo,0,1,1,2,1,1,2,1,8,1,0,1,6,1,1,0,2,0,1,2,1,0,0,1,1,1,0,0,0,0,2,0,1,0,1,0,0,0,1,14,20,0,0,1,0,1,0,0,2,14,5,5,1,0,0,0,0,3,0,1,1,1,2,2,15,1,0,1,0,1,1,11,18,0,0,2,0,1,0,0,0,7,1,21,0,2,0,1,1,2,0,0,17,1,0,0,0,1,0,1,2,1,0,1,2,0,1,15,0,2,0,0,0,1,0,0,18,1,2,0,12,0,1,1,1,1,1,13,0,0,1,0,1,0,1,8,1,2,0,1,2,1,2,0,14,2,0,1,0,2,0,1,2,1,0,1,0,0,0,0,19,1,2,1,14,1,0,0,1,0,1,0,1,0,0,0,1,2,18,2,9,0,13,8,0,1,13,0,1,0,8,0,0,16,1,0,2,0,0,0,9,2,0,2,1,10,2,0,0,1,1,0,1,2,0,1,4,11,0,2,0,0,1,0,0,0,1,2,1,1,1,15,1,2,2,2,0,11,1,0,0,1,1,0,1,0,0,0,2,0,1,2,0,1,1,0,2,0,1,0,0,1,0,0,2,16,0,1,5,1,2,1,2,4,1,1,1,1,0,2,0,0,20,13,1,0,1,0,1,0,0,1,2,1,1,1,2,1,4,1,0,0,1,2,1,1,0,1,0,1,0,0,0
aqx,6,0,18,0,16,19,0,15,16,15,0,0,16,12,18,15,6,3,18,17,0,13,18,9,0,0,18,4,8,4,1,21,2,18,13,17,20,17,14,3,17,21,17,19,13,18,0,17,11,11,17,17,0,5,0,13,3,5,0,0,18,18,0,12,10,12,13,10,19,14,17,10,14,16,19,10,18,12,3,17,13,11,0,17,9,4,13,0,0,16,12,16,13,9,18,13,18,19,14,12,18,10,20,17,20,21,20,18,14,10,20,17,10,14,0,18,15,19,13,12,8,7,15,0,21,3,6,10,3,14,15,7,16,15,20,1,14,3,17,18,14,0,14,14,11,4,19,5,11,18,14,8,0,5,14,14,11,0,0,0,16,8,17,1,19,20,20,7,19,18,18,20,18,20,10,0,19,1,15,0,1,18,18,17,1,17,15,21,12,12,16,0,20,14,14,13,0,9,11,21,10,13,20,0,16,14,1,0,15,21,17,15,16,18,15,19,1,5,8,13,15,16,10,16,0,0,19,17,0,13,0,15,9,12,19,1,8,2,11,20,19,18,18,1,18,17,0,15,15,21,0,13,0,14,3,11,17,0,17,13,17,18,10,16,13,12,8,13,14,3,16,15,8,4,15,15,13,2,11,17,11,20,16,10,10,2,16,13,19,2,16,18,12,13,12,0,11,19,14,14,5,14,17,5,4,19,18,18,4,10,19,20,16
asw,6,0,17,0,15,18,0,11,19,14,0,0,15,14,17,13,6,3,17,1,0,14,17,11,0,0,19,0,8,0,1,20,2,17,0,16,19,16,13,0,16,20,20,18,14,17,0,16,12,11,16,16,0,5,0,12,3,0,0,0,17,17,0,3,3,10,12,13,15,12,16,1,13,15,17,3,20,11,3,16,13,13,0,16,9,4,12,0,0,18,11,15,12,4,17,12,17,18,13,11,16,17,19,16,19,19,19,17,15,10,19,16,20,16,6,17,11,18,13,4,6,0,15,0,19,3,6,11,3,12,14,9,18,8,19,1,13,5,16,17,13,0,13,14,11,6,9,4,4,16,12,8,0,5,15,13,13,0,0,19,15,8,16,13,18,19,18,7,20,16,17,19,17,19,7,0,18,1,14,0,1,17,17,8,1,16,14,20,9,14,15,0,19,12,15,11,11,9,20,19,8,13,18,0,15,6,1,0,16,20,16,14,15,15,12,18,1,5,8,12,14,15,9,4,0,0,17,15,0,12,4,15,8,13,18,12,8,13,0,18,18,17,17,1,17,17,0,14,13,20,0,15,0,13,18,14,0,0,16,12,16,17,17,15,8,11,6,11,13,4,0,14,0,4,15,17,9,13,10,16,7,19,15,11,12,2,16,12,17,0,0,16,11,12,14,0,11,18,13,14,0,13,16,5,12,18,17,16,19,10,18,19,17
bot,2,0,5,0,6,5,0,3,3,4,4,10,3,5,4,5,1,0,5,4,0,4,4,3,4,0,6,5,1,0,1,5,0,2,6,5,4,1,4,0,2,5,5,6,5,4,0,5,5,0,4,4,3,0,0,4,0,2,0,2,5,5,0,0,1,5,16,4,5,4,4,2,1,4,5,5,5,3,0,4,2,2,0,1,4,6,11,4,3,1,5,3,1,0,4,5,5,5,5,0,5,5,5,5,5,5,5,4,2,1,5,5,6,4,0,5,1,5,4,3,6,0,4,5,4,2,0,2,5,4,3,3,5,3,4,1,3,9,4,6,1,4,4,5,11,3,5,9,5,7,2,0,0,4,5,5,3,0,2,5,1,4,12,3,4,5,5,3,5,4,5,5,4,5,4,0,6,1,0,0,2,5,12,3,0,4,3,5,0,2,2,0,6,0,4,3,4,6,5,5,2,3,5,5,4,1,6,0,4,5,5,4,3,6,7,4,2,2,2,4,2,15,12,6,0,1,4,7,3,5,0,4,1,5,7,6,3,1,6,5,5,5,4,3,4,6,0,6,5,5,0,4,0,4,5,2,7,0,4,17,5,5,6,5,5,1,3,2,0,0,4,5,5,1,4,3,4,3,3,4,3,5,1,6,13,0,5,1,5,1,6,20,5,17,4,0,5,5,2,6,0,4,5,0,0,5,5,4,7,14,4,5,6
boy,1,0,10,0,7,6,0,4,7,3,5,3,4,7,5,19,4,0,6,7,0,5,5,4,5,2,7,0,0,1,1,6,4,3,5,6,8,10,5,2,5,6,7,7,6,8,1,21,0,2,5,5,5,3,0,3,2,0,0,0,6,6,0,3,18,3,19,5,4,3,20,0,2,6,6,6,6,4,0,7,5,4,0,5,2,0,2,5,0,9,0,4,5,7,5,8,7,6,7,0,7,6,9,6,6,9,8,6,4,7,9,9,4,5,0,6,2,9,6,5,15,4,5,8,5,1,3,3,9,8,3,4,6,6,8,9,4,3,5,7,5,0,1,6,1,1,7,10,7,0,6,4,4,1,9,6,5,0,3,6,3,5,5,5,5,9,9,5,8,5,9,6,5,8,5,0,7,0,4,3,3,6,6,5,0,5,1,9,0,2,3,0,10,4,6,4,5,6,9,8,0,5,6,7,2,3,4,0,5,7,3,5,7,5,8,8,4,3,3,6,5,5,13,7,0,1,5,6,4,4,0,8,4,6,8,7,5,3,6,6,9,6,8,4,8,4,0,7,1,9,0,0,0,4,9,4,8,0,5,13,6,8,7,3,6,18,1,3,4,0,6,6,4,2,5,5,5,5,5,7,5,9,5,2,14,0,7,3,7,1,9,5,3,18,2,3,3,6,4,7,2,5,9,0,4,6,7,5,10,15,8,6,4
cgq,0,1,0,1,3,3,1,2,1,1,2,0,1,4,2,2,1,0,0,0,0,2,2,0,2,0,3,0,0,0,0,3,0,22,4,3,2,4,0,15,23,2,2,3,1,2,0,3,3,5,2,2,1,0,0,2,0,3,0,1,3,3,1,1,17,2,2,0,2,0,0,10,20,2,3,0,3,2,0,2,1,3,1,24,0,1,7,0,1,4,1,1,19,3,2,3,3,0,2,4,1,3,2,3,1,3,2,2,20,0,2,3,3,0,1,3,19,0,1,1,14,0,0,3,2,1,0,0,2,2,2,0,3,1,2,2,0,1,2,3,0,2,0,3,16,0,3,0,1,4,0,1,1,9,3,0,2,0,0,3,21,0,3,0,2,0,2,0,2,2,0,2,2,2,2,0,0,1,20,1,10,3,2,1,0,2,0,2,2,1,7,0,2,6,0,0,1,3,3,3,13,1,2,1,2,1,0,0,0,3,2,0,0,1,1,0,0,5,0,1,13,3,3,3,0,0,0,1,1,0,0,2,0,3,4,0,2,17,4,3,2,0,0,0,0,2,0,3,0,2,1,3,0,3,2,0,4,0,0,3,2,2,2,2,3,2,0,0,19,0,3,4,1,7,2,20,0,0,0,3,13,3,22,0,2,1,3,14,3,0,3,2,1,0,0,2,1,3,1,3,0,2,3,1,2,0,3,0,3,2,2,3,2
cks,1,0,7,0,7,6,0,4,4,3,5,0,4,7,9,14,4,0,6,8,0,5,8,4,5,2,8,7,0,1,1,10,4,6,5,6,5,10,5,2,0,10,9,10,6,5,1,22,0,2,5,8,5,3,0,17,2,0,0,0,6,6,0,3,18,3,17,5,4,3,20,0,2,6,6,6,6,4,0,5,5,4,0,6,2,0,3,7,0,6,0,4,2,7,5,10,7,6,7,0,7,9,10,6,9,10,10,6,4,7,10,10,4,7,0,6,2,6,6,5,15,2,5,6,9,1,3,3,6,5,6,6,6,5,10,9,6,3,5,7,5,0,1,6,1,1,7,10,7,0,3,4,4,1,6,6,5,0,3,10,3,7,5,4,8,6,6,5,10,5,6,6,5,10,5,0,9,2,5,3,3,6,7,5,0,5,1,6,0,5,3,0,7,4,6,4,5,6,10,10,0,5,6,3,21,3,4,0,5,7,3,5,4,5,8,9,4,3,3,6,4,5,13,7,0,1,8,6,4,4,0,5,4,6,8,1,6,3,8,6,6,6,5,4,6,4,0,8,1,6,0,0,0,4,7,4,8,0,5,21,9,9,7,3,6,21,1,3,5,0,6,6,4,2,5,5,7,5,5,5,5,6,6,2,14,0,9,3,7,1,7,8,3,22,2,3,3,6,4,4,2,9,10,0,6,6,7,8,11,15,5,10,4
cmr,0,0,4,5,11,15,0,6,12,10,4,7,10,0,12,10,3,1,12,11,2,12,12,8,0,0,13,0,5,0,4,14,9,11,0,10,13,10,2,10,10,15,10,15,12,12,0,11,7,4,12,11,8,0,0,9,0,2,0,0,13,12,6,9,5,7,9,10,11,8,11,7,8,11,13,9,14,7,0,11,10,8,4,11,1,4,8,8,0,14,9,1,9,4,10,20,12,14,9,6,12,14,14,12,16,15,11,11,11,12,14,3,14,8,0,12,5,13,11,9,4,0,13,0,14,6,2,6,14,11,8,0,12,10,14,4,15,6,12,11,8,0,9,9,7,1,13,17,8,13,10,2,6,8,18,9,9,0,4,14,10,13,10,6,12,14,14,6,12,13,13,13,12,14,1,1,12,1,8,0,1,12,11,12,0,12,10,14,4,9,12,0,4,1,8,7,5,8,15,14,0,0,13,10,10,11,8,0,11,13,13,10,0,12,11,15,10,6,4,10,9,10,17,11,0,0,13,10,0,9,2,12,5,0,12,8,7,8,9,13,13,12,12,1,11,12,0,9,8,15,0,7,0,11,13,5,14,0,9,8,13,13,13,11,0,6,0,7,10,2,10,11,6,11,12,11,8,11,0,13,9,14,10,0,4,4,10,0,13,0,13,12,8,8,4,0,8,12,9,10,4,20,11,5,3,14,12,12,16,7,13,14,11
cnw,0,0,14,0,13,11,3,11,14,0,5,9,12,10,14,12,3,1,14,13,0,17,14,6,0,0,15,3,7,3,4,16,6,12,11,13,15,14,12,9,12,17,16,17,9,14,0,13,7,9,13,13,1,0,0,10,4,2,0,0,9,14,5,10,8,9,5,11,13,10,13,8,10,13,15,3,16,0,0,13,11,10,4,13,7,4,10,11,0,15,8,13,10,8,12,22,14,16,3,8,9,12,16,14,17,17,16,13,12,5,16,14,16,13,0,14,9,15,9,6,5,0,10,0,16,0,2,5,16,9,12,8,14,12,16,5,11,3,13,13,12,0,10,9,9,1,15,20,8,14,11,2,5,9,20,9,11,0,7,17,6,15,0,10,15,16,16,11,15,15,15,15,15,16,1,0,14,1,11,4,6,14,14,14,0,14,7,16,4,11,13,0,15,1,11,10,0,13,17,16,16,11,15,0,12,9,10,0,13,16,12,12,12,13,4,11,13,10,0,7,11,11,19,13,0,0,15,12,8,10,0,13,6,11,16,8,1,10,10,15,16,15,14,1,13,14,0,12,10,17,0,12,0,7,15,10,13,0,12,22,21,15,11,12,12,8,0,10,11,3,14,7,0,13,9,13,8,8,7,14,10,16,12,7,9,5,15,0,16,0,15,14,0,5,10,0,9,15,6,11,0,22,14,9,10,16,14,14,17,9,15,16,13
