language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
adv,4,3,5,1,0,1,4,4,3,3,0,1,0,4,4,4,1,5,0,0,1,1,4,1,2,0,0,4,4,4,0,0,3,4,4,2,1,1,0,0,4,4,0,0,0,3,3,1,1,2,3,2,3,1,4,3,2,2,3,1,2,5,1,4,0,3,4,3,0,1,0,1,0,3,4,0,4,2,0,0,0,0,4,4,3,3,5,3,3,0,3,2,1,0,4,4,3,4,2,1,3,0,0,0,2,2,1,0,0,0,4,5,3,3,2,5,0,0,0,0,0,3,4,0,0,2,0,1,0,2,5,2,0,2,0,4,5,1,4,3,5,3,3,3,0,1,0,2,3,3,3,3,5,1,0,3,0,4,4,3,4,5,0,0,2,1,1,4,2,4,4,0,0,0,4,0,0,4,3,1,2,0,0,5,2,4,3,4,1,1,3,1,3,2,0,1,3,4,0,4,4,3,3,0,4,0,4,2,1,3,3,5,2,4,0,4,6,1,4,3,2,4,0,3,4,3,0,4,4,3,3,5,3,1,0,3,1,0,0,1,4,4,2,0,3,4,2,1,0,3,0,3,4,1,3,0,4,2,3,4,0,1,0,1,2,4,3,1,4,4,5,3,1,3,4,2,4,3,2,3,0,0,3,1,0,3,0,1,0,1,1,3,0,0,2,0,3,0,0,2,0,3,3,3,5,4,0,2,0,3,0,5,0
ahl,6,7,8,2,6,0,8,7,6,6,1,0,7,9,8,9,6,8,2,7,4,0,8,6,4,1,0,7,8,8,0,3,6,9,7,6,2,0,6,0,8,7,0,0,0,8,0,5,0,6,7,5,6,3,2,7,1,9,6,0,7,10,2,8,0,8,8,7,0,7,0,0,5,7,8,6,7,9,7,3,0,7,9,8,8,8,9,6,7,1,2,8,6,7,8,7,7,9,7,0,8,2,6,5,7,0,0,6,5,5,1,10,5,2,4,9,0,0,2,2,2,8,7,6,0,5,7,0,6,5,0,6,5,5,1,9,9,0,6,6,9,7,8,7,0,0,0,6,8,0,6,7,9,0,3,7,0,9,5,7,0,8,7,4,5,0,0,10,6,8,9,1,6,0,2,7,8,8,8,2,7,6,4,7,0,6,8,8,5,7,8,5,6,4,5,5,7,0,0,9,8,7,5,5,7,0,8,7,0,7,9,9,4,6,6,8,9,0,9,8,4,5,0,6,8,8,1,0,0,7,8,9,7,2,8,8,7,0,1,0,7,7,9,5,8,8,5,4,5,6,8,8,9,3,7,0,8,0,8,0,7,5,7,0,6,8,6,0,6,8,9,7,0,2,8,1,2,0,5,8,0,8,7,6,1,7,1,0,4,5,5,8,4,6,1,0,7,0,0,0,1,7,2,7,9,9,0,7,6,8,0,9,1
amp,18,20,10,13,20,17,22,18,19,8,0,13,19,24,22,19,0,22,7,21,0,0,20,16,14,3,0,20,23,18,4,15,16,22,17,17,0,13,20,8,21,22,0,0,0,22,1,0,13,17,21,9,19,5,19,21,8,17,19,15,21,23,0,23,0,12,19,21,14,19,8,10,7,20,22,17,20,18,21,14,0,21,24,22,22,22,24,19,21,2,0,20,18,21,22,10,21,24,13,11,20,5,18,18,20,0,12,18,8,12,7,22,20,0,6,24,0,0,0,7,1,18,17,20,0,18,22,8,17,14,21,20,17,16,4,24,24,19,15,18,23,18,21,21,1,6,0,14,22,1,20,21,23,2,1,20,2,23,15,19,7,19,18,7,7,3,0,24,17,20,24,8,17,0,12,19,23,22,23,0,20,18,17,22,1,9,23,22,8,19,22,6,17,0,16,17,15,18,0,24,22,20,15,6,21,1,23,9,0,17,24,23,11,19,21,22,11,14,24,19,6,18,1,21,22,22,8,18,18,18,19,24,18,0,12,23,20,0,0,0,22,10,21,20,23,22,8,14,8,20,22,23,24,0,9,1,22,0,20,16,20,14,20,0,18,23,19,0,10,23,23,20,0,0,22,6,11,14,16,17,2,23,17,19,4,22,19,0,13,18,18,21,6,20,12,3,22,0,0,10,0,22,5,19,24,24,3,20,13,22,0,18,0
bci,10,15,12,11,16,10,17,11,10,11,0,11,11,19,18,16,8,13,6,18,5,3,14,14,11,0,0,17,18,14,0,12,13,18,11,9,4,8,16,1,18,17,0,0,0,19,12,0,10,13,16,7,11,7,17,18,5,14,11,13,18,15,0,18,1,9,15,17,7,17,0,0,14,17,19,10,16,16,17,7,0,12,20,18,18,17,20,14,18,0,6,17,16,12,18,16,16,19,0,5,13,1,15,16,17,0,8,15,12,8,8,18,16,9,11,19,0,0,0,1,4,16,15,15,1,15,19,7,11,1,17,18,15,13,7,19,19,13,12,15,19,11,12,16,4,15,0,13,17,6,16,18,19,0,1,17,5,20,9,10,9,12,10,15,9,0,0,19,13,18,19,3,11,0,10,16,18,18,18,6,17,15,15,13,1,17,18,18,11,16,19,7,16,7,14,11,13,14,0,19,18,17,8,8,18,0,19,12,0,10,19,19,8,18,17,18,17,7,20,15,9,10,1,17,19,19,9,14,14,17,17,19,16,13,19,18,16,0,0,0,18,18,17,16,18,18,15,8,16,15,18,18,19,5,16,4,20,3,12,10,11,10,16,6,16,13,15,6,18,18,19,16,0,0,17,0,0,8,9,11,0,19,16,16,7,17,17,4,11,16,9,18,8,17,10,5,17,0,0,8,6,17,9,16,19,19,5,16,8,18,0,11,0
bcj,17,19,10,9,19,16,21,17,18,15,0,4,18,23,21,18,0,21,1,20,0,0,19,15,13,3,0,19,22,17,4,14,0,21,8,8,0,12,19,7,10,21,0,0,0,21,1,0,6,16,20,0,18,5,18,20,0,0,18,14,20,22,0,22,0,11,18,20,5,8,0,7,17,19,21,16,19,0,20,8,0,20,23,21,21,21,23,18,20,2,0,19,0,20,21,19,20,23,0,0,10,4,17,8,19,0,11,8,16,11,7,21,19,0,6,23,2,0,0,4,1,17,16,19,0,17,10,0,16,13,20,9,8,15,4,23,23,9,14,17,22,17,20,20,1,17,0,8,21,1,19,20,22,2,8,19,2,22,14,18,7,9,17,7,7,4,0,23,16,19,23,4,8,0,8,18,22,21,22,12,19,8,9,21,1,20,22,21,8,18,21,13,9,9,7,8,14,10,0,23,21,19,6,11,20,5,22,15,0,16,23,22,10,10,20,21,18,13,23,18,14,17,1,20,11,21,14,17,17,8,10,23,17,15,12,22,19,0,0,0,21,21,20,19,22,21,16,5,19,19,21,22,23,0,17,1,12,0,19,15,19,0,19,0,8,22,18,7,20,22,22,19,0,0,21,10,10,13,15,16,2,22,11,9,4,21,11,5,6,8,17,20,12,19,11,6,21,2,0,0,0,21,10,18,23,23,3,19,12,21,0,10,0
bgj,12,14,0,0,12,12,14,13,14,12,0,9,14,16,15,13,11,15,4,14,5,4,15,11,10,0,0,15,15,13,5,8,9,14,15,12,4,10,13,4,16,14,0,1,0,16,9,8,9,11,15,8,14,9,15,13,5,13,13,11,16,14,0,15,0,9,12,14,9,15,0,0,12,14,17,13,15,15,14,11,0,15,16,15,15,14,16,13,16,0,7,13,14,16,15,13,12,16,9,7,16,1,12,13,14,0,7,14,11,0,0,15,12,10,9,16,0,1,0,6,1,14,13,12,1,12,16,5,13,1,15,16,12,11,0,16,16,16,11,12,15,15,14,13,8,11,0,10,14,6,14,15,16,0,5,13,4,18,11,14,12,15,12,12,10,0,0,16,12,14,16,6,14,0,11,13,15,15,15,8,16,11,11,15,1,14,15,15,10,13,16,10,13,0,12,14,11,15,0,17,16,14,12,8,14,0,15,0,0,12,17,16,0,15,13,16,15,6,16,13,13,14,3,14,16,15,11,12,12,14,15,16,13,10,16,15,14,0,0,3,14,15,13,13,15,14,13,11,13,12,14,15,16,5,11,1,18,0,16,13,13,13,13,0,13,16,13,0,14,16,16,15,0,6,15,0,8,12,11,13,4,16,15,14,0,14,15,0,9,12,13,14,10,15,9,4,14,0,0,7,5,15,6,11,16,16,4,14,10,14,0,15,0
bms,4,3,4,1,0,1,0,4,3,3,0,1,0,5,4,5,1,5,0,0,1,1,3,1,2,0,0,4,4,5,0,0,3,5,3,2,1,1,0,0,5,4,0,0,0,3,3,1,1,2,3,2,3,1,4,3,2,2,3,1,4,3,1,5,0,3,4,3,0,1,0,1,0,3,4,0,4,7,0,0,0,0,5,4,5,3,4,3,3,0,3,2,1,4,4,3,3,5,2,1,3,0,0,0,2,2,1,0,2,0,4,3,3,3,2,4,0,0,0,0,0,3,4,3,0,2,4,1,0,2,6,2,0,2,0,5,4,1,4,3,4,3,5,3,0,1,0,4,3,2,3,3,2,1,0,3,0,5,4,3,4,2,0,0,2,1,1,5,2,4,5,0,0,0,4,0,0,3,4,1,4,0,0,5,2,4,3,3,1,1,3,1,3,2,0,1,3,4,0,5,3,3,3,0,4,0,4,2,1,3,5,4,2,3,0,5,5,1,5,3,2,4,0,3,5,4,0,4,4,0,4,4,3,1,0,3,1,0,0,1,3,4,2,0,4,4,2,1,0,3,0,3,5,1,3,0,5,2,3,4,4,1,0,1,2,4,3,1,0,5,4,3,1,3,4,2,4,3,2,5,0,0,3,1,0,3,0,1,0,1,1,3,0,0,2,0,3,0,0,2,0,3,3,3,4,5,0,3,0,3,0,6,0
ceu,0,4,7,6,4,6,6,0,4,4,1,2,4,6,5,0,4,6,2,5,3,0,5,4,1,2,0,5,5,6,2,1,4,6,5,5,2,0,4,0,6,5,0,0,0,6,4,4,4,3,5,4,4,0,6,4,1,6,4,4,5,6,2,6,0,2,5,5,2,5,0,5,3,5,6,4,0,8,5,2,0,4,7,6,6,5,6,4,5,1,5,4,4,5,6,5,5,6,4,0,6,3,4,2,4,3,0,3,3,1,1,6,4,5,1,6,0,0,1,2,3,4,1,4,0,3,5,3,4,0,7,3,3,3,2,6,6,4,5,4,7,5,6,4,3,0,0,5,4,4,4,4,6,0,2,4,1,6,0,4,5,7,4,2,1,2,0,7,4,5,6,1,4,0,5,4,5,6,5,2,5,3,5,0,0,0,5,5,4,5,5,2,4,1,4,0,4,6,0,6,5,5,4,3,5,0,5,6,0,4,7,7,1,7,4,6,8,3,6,5,0,0,0,4,6,5,4,5,5,4,5,6,5,6,7,6,5,0,1,0,5,5,5,3,5,5,1,0,3,4,5,6,7,2,4,0,6,0,5,5,5,4,4,0,3,5,4,3,5,6,6,4,0,2,6,5,2,4,3,6,0,5,5,3,1,5,6,0,2,0,0,4,1,3,1,0,4,0,0,0,1,4,4,5,6,6,1,4,3,5,0,2,0
cgt,0,6,6,6,3,6,5,0,4,4,1,2,3,7,6,6,4,7,2,5,3,0,6,4,1,2,0,5,6,6,3,1,4,7,5,5,2,0,3,0,6,5,0,0,0,5,4,2,4,3,4,4,4,0,7,5,1,7,4,3,5,8,2,6,0,2,6,4,2,4,2,4,3,4,5,4,5,8,4,2,0,5,6,5,6,6,7,4,5,1,5,5,3,5,5,5,4,7,4,0,5,3,4,3,3,3,0,2,3,1,6,7,6,4,1,7,0,0,1,2,3,6,5,4,0,3,5,3,4,0,7,4,2,3,1,7,7,5,5,4,6,4,6,5,3,0,0,5,5,4,4,5,7,0,2,5,1,7,0,5,6,6,4,2,1,2,0,8,4,6,7,1,4,0,5,5,6,5,6,2,5,3,3,0,0,0,6,6,4,5,6,2,4,1,2,0,6,5,0,7,6,6,4,3,5,0,6,5,0,4,6,6,1,5,4,6,7,3,7,6,0,6,0,4,6,6,4,0,6,4,5,7,4,6,5,5,5,0,1,0,5,5,6,3,6,6,1,0,3,4,5,5,6,2,5,0,6,0,6,5,5,4,5,0,3,6,4,3,5,6,7,5,0,2,5,5,2,4,3,6,0,6,5,4,1,5,5,0,2,0,0,5,1,4,5,0,5,0,0,0,1,5,4,4,7,7,1,5,3,6,0,2,0
dey,8,9,1,8,8,0,10,8,8,7,1,0,8,11,10,8,7,10,2,9,4,0,10,0,5,1,0,8,10,10,0,5,6,10,7,7,2,5,8,0,9,9,0,0,0,10,0,5,5,5,9,5,8,4,9,9,1,10,8,0,9,11,2,10,0,7,0,9,4,6,3,0,6,8,10,8,8,11,9,6,0,9,11,10,10,10,11,8,9,1,2,9,7,9,10,9,9,11,5,0,9,2,7,7,6,0,5,7,6,4,1,9,5,7,5,11,0,0,1,2,2,5,8,8,0,7,9,0,7,0,10,8,6,7,1,11,11,8,1,7,11,9,10,9,0,0,0,7,7,0,8,8,10,0,2,9,0,11,6,8,0,1,6,6,5,0,0,6,7,10,11,1,7,0,2,8,9,10,10,2,9,5,8,9,0,8,10,10,7,8,10,2,8,1,6,7,7,9,0,11,9,9,0,1,9,0,10,8,0,5,11,11,4,9,8,10,1,4,11,8,5,8,0,8,10,10,1,8,7,6,9,11,9,8,10,10,8,0,1,0,9,9,8,7,10,10,5,0,7,8,7,10,11,3,8,0,10,0,10,7,9,8,9,0,5,10,7,4,9,10,11,9,0,2,9,1,6,6,7,8,1,10,9,8,1,8,9,3,5,5,7,9,1,8,1,0,9,0,0,0,1,9,2,9,11,11,0,9,5,10,0,8,1
