language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
ado,0,16,20,7,19,0,20,0,15,0,15,16,17,9,18,0,19,20,22,0,23,21,3,22,20,23,0,23,0,1,14,23,8,0,9,1,20,18,2,20,7,22,14,22,20,11,0,0,22,0,0,22,1,13,23,4,22,2,0,22,8,0,23,23,0,23,5,21,0,22,0,19,23,19,2,12,21,22,18,0,12,13,13,21,22,3,22,11,17,21,15,17,12,0,0,9,18,13,5,19,22,13,17,0,0,15,3,16,15,4,9,20,20,17,10,19,23,0,6,21,0,22,1,20,19,0,17,20,15,8,22,13,18,13,15,14,20,17,19,18,20,14,16,3,13,19,15,16,12,14,17,15,4,11,16,7,21,12,1,17,21,10,0,23,21,0,17,22,4,18,13,23,9,20,21,22,20,4,0,17,17,19,16,23,20,13,15,0,20,21,0,20,15,0,23,0,21,20,20,0,19,0,15,14,15,23,0,18,1,0,16,19,9,18,8,18,14,23,21,23,3,18,15,1,0,19,23,11,12,2,22,16,16,22,22,20,14,21,20,20,14,16,21,23,19,12,20,0,1,23,20,22,21,21,2,20,18,9,21,22,3,15,18,4,9,0,15,0,3,0,0,18,22,20,16,21,0,22,21,23,0,18,9,12,13,22,21,10,1,21,21,22,21,12,16,12,22,4,7,13,20,23,22,15,11,10,23,16,21,18,20,14,19
ahl,0,5,11,4,10,2,11,7,8,0,11,11,13,5,11,8,12,11,13,6,13,10,6,7,11,11,4,14,4,6,2,13,1,7,0,3,11,13,5,13,1,14,8,14,12,6,0,0,13,0,1,14,4,8,13,5,13,9,3,13,4,0,13,14,0,14,0,14,0,14,0,11,14,13,0,2,12,13,13,4,8,4,10,14,13,2,14,9,10,13,8,11,7,0,0,3,13,1,0,12,14,2,13,0,0,3,1,3,12,1,2,13,15,11,6,12,15,10,2,14,5,14,1,13,11,0,6,12,9,2,10,9,11,3,7,3,9,11,12,7,4,10,10,6,3,12,10,1,0,5,12,10,9,2,11,0,8,7,0,11,13,5,7,13,7,1,11,13,5,12,8,13,4,13,13,13,11,9,6,13,11,11,10,13,7,7,13,3,12,13,0,14,4,0,13,0,12,12,8,0,4,1,8,9,11,13,0,10,1,4,7,9,6,11,6,12,3,15,14,13,8,5,10,1,6,14,15,6,3,8,14,13,8,13,13,14,12,8,4,12,3,11,12,13,12,5,12,7,1,13,3,15,13,14,1,11,5,3,15,13,2,6,12,8,6,0,10,0,6,5,0,13,14,14,12,14,11,12,13,13,2,11,3,1,3,7,13,9,3,14,14,13,14,7,1,4,13,3,2,5,8,13,13,9,1,1,13,11,15,14,7,7,13
amq,0,13,17,5,8,0,17,12,12,0,7,13,0,7,15,12,16,17,18,0,20,6,5,19,6,20,0,20,0,7,2,19,1,0,0,1,17,7,1,17,5,18,4,18,17,5,0,0,19,0,4,19,6,7,20,6,19,3,3,19,4,0,20,19,0,20,2,18,0,19,2,16,20,18,0,7,18,19,5,0,10,7,0,4,19,2,19,6,14,18,12,16,2,0,0,3,17,6,0,16,7,2,4,0,1,3,1,7,14,1,4,4,8,3,2,16,7,4,4,7,10,18,7,17,6,0,7,16,11,5,19,11,15,12,12,11,8,14,16,6,17,6,13,10,7,16,12,13,11,6,16,14,0,9,14,0,18,10,0,14,18,4,0,19,18,1,7,19,3,14,11,20,1,17,18,19,16,10,8,7,14,16,6,20,16,9,14,0,17,17,0,19,8,7,19,0,18,17,17,0,8,1,0,2,7,20,0,15,1,9,8,16,4,17,0,17,7,20,7,19,7,16,4,3,14,16,19,2,3,10,19,8,13,7,18,17,8,18,17,17,6,3,18,20,7,9,17,4,1,19,7,7,18,7,1,16,5,8,18,19,6,3,15,1,8,2,3,0,4,10,0,7,19,17,15,18,5,19,18,19,2,17,6,9,3,8,18,7,3,18,18,18,19,6,13,9,18,3,2,10,17,19,19,7,5,7,19,6,18,7,17,3,18
amx,0,6,4,0,5,1,4,5,0,0,4,5,6,0,4,5,4,4,6,0,5,4,2,5,4,5,3,5,1,5,4,5,1,5,5,1,4,5,1,6,1,6,6,4,5,0,0,0,5,0,1,5,5,5,5,3,5,5,3,5,1,0,5,5,0,5,0,4,0,5,0,5,5,7,0,2,6,5,6,2,4,5,0,7,5,0,5,4,5,0,5,6,4,0,0,3,6,4,0,4,5,3,5,0,0,5,1,5,3,1,2,6,5,6,4,6,5,0,2,6,4,5,1,6,3,0,4,6,4,1,4,6,4,4,4,5,5,4,5,5,6,4,3,4,6,7,3,6,7,4,4,5,0,3,5,4,6,3,0,4,4,3,4,5,5,1,4,5,3,5,5,5,3,5,5,5,5,5,3,4,3,5,5,5,3,2,5,0,6,5,0,5,7,3,5,0,5,5,4,0,7,0,6,5,6,6,2,5,1,4,5,6,3,5,4,6,5,4,5,5,4,6,2,1,3,4,5,3,3,1,5,6,6,5,5,7,7,6,6,5,5,6,5,5,5,2,4,4,1,5,5,5,6,5,1,5,4,5,5,5,5,4,0,6,3,0,2,3,2,4,1,5,6,6,7,5,4,4,5,6,3,4,0,1,3,5,5,6,5,6,4,5,6,5,5,2,4,3,2,3,5,5,5,6,4,4,5,4,6,5,5,4,4
bek,0,12,13,6,15,3,14,10,7,0,11,11,7,5,12,11,14,14,16,0,16,15,6,16,14,16,4,17,2,6,2,16,1,7,0,3,14,14,3,15,1,15,8,16,14,9,0,0,16,0,1,12,10,8,16,5,16,11,3,16,4,0,15,17,0,16,0,8,0,16,0,12,16,14,0,2,16,16,14,0,5,9,11,15,17,2,11,9,10,15,11,13,7,0,1,7,15,11,3,10,17,2,7,0,0,10,1,3,10,1,2,15,16,13,7,12,13,9,2,17,5,12,1,14,13,0,6,13,7,2,15,3,12,3,7,9,14,11,13,13,14,9,10,6,11,13,10,1,0,5,7,11,9,8,4,0,16,9,0,9,16,5,7,16,16,1,11,16,5,11,10,16,4,14,15,16,13,9,6,12,5,11,13,16,14,8,3,3,15,7,0,12,12,0,15,0,13,12,15,0,4,1,11,9,12,16,0,13,1,4,12,13,6,14,6,15,3,17,17,16,8,14,2,1,12,3,17,6,3,5,12,9,8,16,15,8,12,15,14,13,3,11,15,16,14,5,14,4,1,15,14,17,15,12,1,11,14,3,13,16,2,6,9,10,6,0,9,0,6,5,0,12,12,14,12,12,9,13,15,16,2,13,3,1,9,17,14,9,3,15,12,16,16,7,1,4,15,3,4,9,15,16,16,9,1,1,16,1,16,11,14,11,13
bgw,0,14,18,0,17,4,18,13,13,0,3,15,15,8,16,13,17,18,20,0,21,19,13,20,18,21,10,21,0,15,12,21,6,0,10,5,18,16,7,18,6,20,12,20,18,0,0,0,20,0,0,20,1,12,21,13,20,13,7,20,3,0,21,21,0,21,0,19,2,20,0,17,21,20,0,11,19,20,17,0,11,11,12,19,20,0,20,0,15,22,13,18,3,0,0,1,19,12,1,17,20,11,18,0,2,14,5,15,16,3,8,18,18,15,8,17,21,14,7,19,11,20,1,18,17,0,15,18,14,9,20,4,16,14,13,13,18,15,17,16,18,12,14,11,14,18,13,14,5,12,18,16,4,10,15,0,19,11,0,15,19,9,10,21,19,0,15,20,4,16,0,21,2,18,19,20,18,11,10,15,15,17,15,21,18,11,16,0,18,19,0,21,16,8,21,0,19,18,18,0,17,0,12,13,14,21,0,16,2,0,14,17,7,19,9,19,13,21,19,21,11,1,14,1,15,17,21,9,0,2,20,17,14,20,20,18,1,19,18,18,12,4,19,21,17,10,18,0,1,21,18,20,19,19,2,18,16,0,19,20,10,0,16,13,10,0,13,7,9,0,0,16,20,18,5,19,14,20,19,21,0,19,7,10,11,20,19,0,11,19,19,20,20,11,3,10,20,7,6,11,18,21,20,16,10,8,21,14,19,16,18,13,20
bit,0,5,8,4,9,2,7,0,6,0,9,6,9,4,6,0,8,7,8,4,8,7,7,8,8,7,4,10,0,10,5,8,1,0,7,1,7,8,1,8,1,10,7,10,8,0,0,0,8,0,1,7,7,4,9,5,9,7,3,8,4,0,8,9,3,9,0,9,0,9,0,8,8,9,0,2,10,8,8,0,5,8,0,10,9,2,9,7,9,7,9,8,5,0,0,3,9,7,0,9,10,5,10,0,0,7,1,9,8,1,2,9,11,9,2,10,9,7,2,9,5,7,5,10,4,0,8,9,6,2,8,3,8,6,8,3,11,8,9,1,9,7,8,5,9,4,6,7,8,7,8,7,6,2,8,0,11,5,0,5,8,2,8,9,11,1,9,9,3,8,7,8,1,10,9,8,8,7,3,8,7,7,7,8,9,2,8,3,9,10,0,7,9,0,8,0,10,9,10,0,9,1,9,2,9,8,0,3,1,4,10,8,5,7,0,9,9,10,9,4,9,10,5,1,8,10,11,2,6,1,9,10,5,8,8,9,10,10,9,7,7,8,9,9,10,2,7,4,1,9,9,9,7,9,1,8,10,3,10,9,7,6,8,7,4,0,6,0,5,5,2,8,8,9,9,9,6,7,9,9,2,8,4,5,6,11,7,8,7,10,8,10,10,4,7,4,8,3,2,5,9,8,8,11,1,6,8,7,7,8,10,5,9
bvy,0,4,3,0,4,1,3,5,0,0,5,5,4,0,2,6,6,4,5,0,4,5,2,4,5,4,0,4,1,4,3,4,3,4,5,1,4,4,1,5,2,5,5,5,4,4,0,0,4,0,2,4,5,3,4,3,4,4,3,4,5,0,4,4,0,4,0,5,0,4,0,5,4,5,0,2,5,4,4,0,3,4,4,6,4,0,4,4,4,5,4,5,4,0,0,3,5,5,0,4,4,3,3,0,0,4,1,4,4,1,3,5,4,5,3,5,4,0,2,5,4,4,1,5,3,2,3,5,3,3,4,5,3,3,4,4,4,3,4,4,5,3,4,2,5,6,3,5,6,3,5,4,5,4,6,3,5,3,0,4,3,2,5,4,4,1,1,4,3,4,4,4,3,4,4,4,4,0,4,3,2,4,5,4,4,2,4,2,5,4,0,4,6,3,4,0,4,4,5,0,6,0,5,4,5,5,0,4,1,4,4,5,1,4,5,5,4,5,4,6,5,4,3,1,4,5,4,4,3,3,4,5,6,4,4,6,6,5,5,4,4,5,4,4,5,2,3,5,1,4,4,4,5,4,1,4,6,4,4,4,4,5,5,5,2,0,2,2,2,4,1,4,5,5,6,4,4,3,4,5,3,3,2,1,3,4,4,5,4,5,5,4,5,5,4,3,5,3,2,2,4,4,4,4,3,1,4,3,5,4,4,4,5
div,0,17,21,0,20,0,21,0,4,3,16,18,18,0,19,15,20,21,23,0,24,22,15,23,21,24,11,24,0,1,15,24,2,0,11,6,21,19,2,21,8,23,15,19,21,0,0,0,23,0,0,23,11,14,24,15,23,14,0,23,9,0,24,24,0,24,0,22,0,23,0,20,24,22,2,10,22,23,19,0,0,14,13,22,23,4,23,12,18,23,16,20,13,0,0,1,21,14,4,20,23,14,20,0,0,17,3,17,15,4,9,21,21,18,11,20,24,0,6,22,13,19,9,21,20,0,18,21,13,8,23,14,19,16,16,15,21,18,20,19,21,15,17,13,15,20,16,17,5,0,20,18,13,12,16,0,22,14,1,18,22,12,12,24,22,0,18,23,4,19,0,24,7,21,22,23,21,4,11,18,18,20,17,24,17,10,18,0,21,22,0,23,15,0,24,0,22,21,19,5,20,0,13,3,16,24,0,19,1,0,17,4,10,21,11,18,15,24,22,24,12,19,16,1,0,20,24,12,11,2,23,19,0,23,23,0,1,22,21,21,15,17,22,24,20,13,21,0,1,24,21,23,22,22,2,21,19,10,22,23,11,16,19,15,11,0,16,0,11,12,0,19,23,21,16,22,15,23,22,24,4,21,0,3,14,23,22,11,1,22,22,23,22,1,14,13,23,8,0,14,21,24,23,18,9,11,24,17,22,19,21,1,22
dsv,0,8,6,4,7,2,8,0,5,0,8,9,10,4,7,7,8,8,9,0,9,9,4,9,9,9,5,9,0,9,8,9,1,0,0,4,8,8,1,9,4,11,7,11,9,0,0,0,9,0,1,9,8,9,10,5,7,3,3,9,4,0,9,10,0,10,0,11,0,10,0,9,9,10,0,5,9,9,9,0,5,8,0,11,10,2,8,8,7,8,7,10,6,0,0,5,4,7,0,7,8,6,8,0,0,8,1,10,9,1,2,8,12,7,2,11,10,6,2,10,7,9,6,8,7,0,6,7,6,2,9,3,6,8,6,7,12,9,8,9,10,5,3,2,3,8,7,8,8,5,10,7,8,5,7,0,12,5,0,6,9,2,7,10,10,1,8,7,3,10,7,9,1,11,10,9,3,6,3,6,9,10,8,9,10,4,9,4,10,8,0,9,9,0,9,0,9,10,11,0,10,1,8,7,10,9,0,7,1,4,9,7,5,9,0,10,10,8,10,10,0,8,7,1,10,8,9,2,4,6,7,4,5,10,9,11,11,11,10,9,7,9,7,10,11,2,8,4,1,10,10,10,9,8,1,9,8,3,11,10,7,8,10,7,4,0,7,0,5,7,2,10,9,10,9,10,6,9,10,10,2,6,3,1,7,9,8,8,8,11,9,8,8,4,7,6,9,3,3,5,10,9,9,8,6,1,9,7,9,9,8,6,10
