language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
afj,0,9,10,2,4,5,11,10,13,0,12,14,8,6,12,0,0,9,5,10,10,14,4,10,12,0,7,6,8,8,10,12,0,5,9,8,10,6,10,5,14,12,8,14,0,13,5,10,12,8,6,3,0,3,9,13,13,13,9,2,0,10,11,11,12,13,12,10,2,0,13,13,6,10,0,9,4,0,6,12,10,9,8,0,0,13,11,13,13,1,14,12,10,11,10,3,13,0,12,14,13,12,9,9,7,0,11,11,13,0,9,0,10,8,0,13,11,0,11,0,14,5,9,0,14,0,11,15,5,12,9,9,12,9,12,0,10,0,0,8,6,0,13,10,12,10,8,9,13,0,10,14,6,12,11,8,0,12,13,10,11,0,13,2,1,13,6,0,12,12,9,11,3,10,14,11,11,10,10,9,10,0,0,2,13,10,11,1,13,8,11,8,1,11,15,14,10,13,0,14,12,0,9,10,0,13,12,0,12,9,11,0,11,9,8,12,0,8,7,0,13,13,11,0,0,11,12,12,2,10,4,6,0,11,3,11,8,4,12,14,0,0,0,6,3,11,7,8,10,8,5,3,9,13,13,7,0,11,4,14,10,12,13,10,14,0,14,11,10,11,11,12,12,10,8,0,14,9,7,13,0,0,0,4,9,0,9,0,0,11,14,11,3,8,3,3,0,10,12,14,0,9,2,8,12,13,11,12,12,10,9,0,12
aty,0,14,14,5,4,10,16,15,16,0,16,6,9,8,16,14,0,12,0,15,15,17,6,12,17,4,9,11,11,13,13,14,0,7,11,9,13,0,0,5,17,15,11,16,6,17,13,12,15,10,3,2,0,2,11,16,15,0,5,2,5,12,6,14,16,16,16,12,0,0,15,15,15,14,4,11,0,0,6,15,8,14,0,0,0,16,14,16,16,1,17,15,14,13,6,3,15,11,16,16,16,16,8,2,10,0,13,16,15,0,8,3,14,11,0,14,13,0,16,0,17,0,12,0,17,10,13,12,6,16,13,4,14,13,17,0,12,8,0,0,3,0,15,12,6,14,1,12,17,0,14,16,9,15,0,11,0,14,16,15,13,0,16,0,1,15,9,0,14,14,0,15,0,12,17,9,13,7,6,11,14,0,5,3,16,15,15,1,17,0,14,12,1,12,18,16,12,16,0,17,16,0,12,13,0,15,14,0,13,5,13,0,6,12,2,16,0,6,8,0,15,17,8,0,0,4,14,16,2,12,9,6,0,14,1,15,10,0,17,18,6,15,0,15,3,12,11,12,14,10,5,4,12,15,16,0,12,14,0,17,12,15,17,14,6,0,17,15,9,13,4,14,14,12,12,0,17,12,0,18,8,6,0,10,13,12,5,7,6,13,16,15,3,9,0,3,2,6,15,16,8,10,7,10,15,16,10,16,16,13,12,0,14
bcy,0,3,2,0,1,1,3,4,5,0,2,3,0,3,2,4,0,3,0,3,2,3,0,3,3,1,3,4,3,3,4,3,1,1,3,0,1,2,2,1,4,2,2,3,2,4,1,0,3,1,0,0,0,1,1,3,1,2,3,0,0,1,3,1,5,2,3,1,0,0,3,5,1,3,0,3,0,2,2,2,2,2,3,0,1,4,4,4,2,4,4,3,4,3,1,2,3,2,2,5,2,2,0,1,1,0,3,2,3,0,4,0,2,3,1,4,3,0,3,0,4,2,3,4,2,4,3,1,0,3,3,3,3,1,3,4,1,0,0,0,1,0,2,3,3,3,3,1,3,4,1,3,2,1,4,2,2,3,3,1,5,1,1,0,0,5,1,1,2,2,2,2,0,3,2,3,1,4,4,0,2,4,0,0,2,1,1,0,3,2,2,2,0,5,4,4,2,3,2,2,3,1,1,3,0,5,3,0,3,2,3,0,4,4,1,2,0,5,2,2,2,2,4,0,4,3,3,2,1,4,2,4,0,3,0,4,3,0,3,2,2,4,0,2,2,3,3,5,1,2,3,1,5,3,3,5,5,3,0,3,2,2,4,3,3,0,6,3,1,3,0,5,1,3,3,0,5,2,3,4,1,0,1,1,2,2,2,2,0,3,3,5,2,1,0,1,0,4,1,2,3,2,0,3,2,4,3,2,2,1,3,1,3
bdy,0,18,0,0,13,11,20,18,20,2,20,20,4,0,19,15,0,16,0,19,19,20,9,15,20,6,11,15,14,17,16,17,0,11,12,13,17,12,14,10,20,19,15,20,0,20,16,15,19,13,0,4,0,0,12,20,19,19,14,5,0,16,18,17,20,20,19,16,0,0,18,18,19,18,0,15,1,8,13,19,16,18,12,2,0,20,18,19,19,12,20,19,18,16,17,9,19,13,19,20,20,20,13,11,14,0,0,20,19,0,15,0,17,12,0,18,17,0,20,0,20,0,16,7,20,14,16,6,1,20,17,12,18,17,21,0,16,0,0,13,8,0,19,15,18,18,12,16,20,15,18,19,12,19,16,15,0,18,20,18,16,7,19,0,0,19,10,8,18,17,14,18,0,16,21,17,17,12,15,15,18,14,1,0,20,19,19,0,21,13,18,16,0,16,22,20,15,18,0,21,17,0,15,17,0,19,17,0,16,14,14,0,15,13,9,20,6,12,11,7,18,21,16,6,7,14,18,20,0,15,12,14,0,18,7,7,12,7,21,21,7,19,0,19,0,15,15,16,18,12,0,0,14,19,20,10,16,18,0,20,16,19,21,17,19,3,20,19,13,16,15,17,4,16,16,0,21,16,12,19,0,0,0,13,16,16,16,4,0,17,20,19,7,15,4,0,0,13,18,20,0,13,10,14,18,20,14,19,19,15,15,0,18
bej,0,1,2,0,1,4,6,2,1,0,4,5,0,2,5,2,1,5,0,5,4,1,2,4,5,0,0,3,2,2,5,4,1,1,1,2,4,3,2,2,5,4,3,5,2,5,3,0,5,2,0,0,0,0,2,5,4,3,1,0,0,2,5,2,1,4,5,2,0,0,5,6,4,1,0,1,0,2,3,4,0,4,2,0,1,5,5,5,3,2,5,1,1,2,2,2,1,6,4,1,4,4,4,1,2,0,0,4,5,1,3,0,4,5,2,3,1,0,6,0,5,2,5,3,4,2,1,4,3,5,1,2,1,2,5,2,2,0,0,0,1,0,4,1,0,1,2,4,5,5,3,5,2,4,3,1,3,1,5,3,2,0,4,0,0,6,2,2,4,4,3,4,0,2,4,4,2,6,5,0,4,2,0,0,4,4,5,0,5,4,4,1,0,2,5,5,5,5,2,4,5,1,1,1,0,6,5,0,1,2,1,0,3,2,1,4,2,3,3,2,4,4,5,1,2,1,5,4,1,2,1,2,0,5,0,5,2,0,6,5,2,6,0,4,2,2,2,2,4,3,2,1,2,4,1,1,3,1,0,1,4,4,2,1,5,0,2,6,1,4,3,3,2,1,2,0,1,0,2,5,2,0,1,1,1,6,2,2,2,1,1,6,2,3,0,2,0,2,5,5,2,0,0,2,4,5,4,4,4,2,0,1,1
bix,0,5,5,3,5,6,7,7,6,3,7,7,5,4,7,6,2,7,2,6,6,7,3,6,7,0,0,7,6,6,6,6,3,0,6,5,6,4,5,5,7,6,6,6,4,8,6,5,6,3,0,0,0,2,4,6,7,6,6,0,1,4,7,5,6,6,7,4,0,0,7,8,7,5,0,4,0,3,5,7,4,6,5,0,0,7,8,6,9,6,7,6,6,5,7,4,7,7,6,7,6,6,1,4,4,0,5,7,7,0,5,1,7,6,0,6,6,0,7,1,7,0,6,6,7,0,6,7,4,6,5,5,6,5,7,7,5,0,0,4,4,1,6,6,7,5,4,5,7,6,5,7,4,6,0,5,0,5,6,5,0,3,6,0,1,7,3,0,6,6,6,8,0,7,7,6,7,8,7,5,5,7,2,0,6,5,6,0,7,5,6,5,1,6,8,7,7,7,3,7,6,4,6,6,0,7,8,0,5,6,6,1,7,6,4,7,0,7,4,4,6,7,9,2,0,4,6,7,2,6,6,0,0,6,1,9,0,3,7,8,3,7,0,7,4,5,5,0,6,0,5,0,6,6,7,0,7,5,2,7,6,6,7,5,7,0,9,7,5,6,6,8,6,5,5,0,7,5,0,8,0,0,0,3,5,8,5,5,0,7,7,7,3,5,2,3,1,7,9,8,5,5,2,4,6,7,7,7,6,8,5,3,6
bkx,0,11,12,2,9,5,13,13,12,0,13,13,0,6,13,11,0,10,5,12,12,15,4,10,14,0,7,6,8,11,10,11,0,5,7,8,10,0,8,5,12,13,8,11,0,14,5,10,13,7,6,3,0,3,7,14,14,11,12,2,0,8,13,9,13,11,14,9,0,0,12,12,12,10,0,8,5,0,6,11,9,11,8,1,0,12,11,11,13,1,13,13,11,9,10,3,11,0,13,13,11,13,9,7,7,0,10,13,12,0,10,0,10,8,0,12,5,0,13,0,15,6,9,0,13,8,10,16,5,13,11,8,11,11,14,9,5,0,0,8,6,0,11,0,10,12,1,9,14,0,12,12,6,11,11,8,0,11,11,13,9,0,14,2,1,12,6,0,11,10,9,13,3,5,15,12,6,10,6,8,11,0,0,2,12,12,12,1,14,8,12,8,1,11,14,12,9,14,0,13,13,0,9,11,0,11,13,0,11,9,9,0,10,9,6,13,0,8,7,0,12,14,11,0,0,9,10,13,2,10,4,10,0,11,3,13,7,4,15,15,0,12,0,12,3,9,7,8,12,8,6,3,11,11,12,7,0,12,4,13,8,13,14,11,15,0,8,12,10,9,9,12,10,9,10,0,15,8,8,16,0,4,0,4,9,0,11,0,0,9,13,13,3,11,3,3,0,10,12,12,0,8,2,0,13,12,11,14,13,10,9,0,10
cfo,0,19,17,0,12,13,19,17,19,7,19,19,10,11,18,19,5,15,0,18,18,19,0,14,19,5,10,14,0,16,15,15,0,10,14,12,16,11,13,9,19,18,14,19,0,19,17,14,18,14,0,0,0,0,16,19,16,18,17,5,0,15,17,16,19,19,20,13,5,0,17,17,18,17,0,14,8,8,12,18,15,17,11,0,0,19,17,21,20,1,19,18,17,15,16,0,20,0,18,19,19,19,12,3,13,0,0,19,18,0,14,0,16,15,0,17,16,0,19,0,22,0,15,7,22,13,5,19,8,19,18,11,17,16,20,12,15,9,0,10,0,0,18,0,15,17,11,15,19,14,17,20,13,18,15,14,0,17,19,17,0,0,18,0,0,18,10,7,17,16,13,17,0,15,20,16,16,12,16,14,17,13,1,0,19,18,18,0,20,12,17,15,0,15,21,21,0,0,0,22,20,0,5,16,0,18,0,0,15,13,17,0,14,16,10,19,0,13,0,6,17,20,15,5,0,5,17,19,0,0,13,13,0,17,0,7,0,6,20,22,10,18,0,18,0,14,14,15,17,0,0,0,13,18,19,0,15,17,0,19,15,20,20,16,18,2,19,18,16,15,14,16,17,15,15,0,22,13,11,22,0,0,0,12,14,15,15,11,0,16,19,18,6,14,0,0,0,0,17,19,10,12,9,13,17,19,13,20,18,16,14,4,17
ckr,0,16,16,0,11,11,18,16,18,6,18,18,4,10,17,17,0,14,6,17,17,18,8,13,18,0,0,13,13,15,14,15,5,9,12,11,15,10,0,8,18,17,13,18,0,18,15,4,17,12,8,0,0,0,14,18,18,17,16,5,0,14,16,15,18,18,0,15,4,0,16,16,17,16,0,13,7,8,11,17,13,16,0,0,0,18,16,18,17,11,18,17,16,14,15,0,17,0,17,18,18,18,11,3,12,0,0,18,17,0,13,0,6,14,0,16,15,0,18,4,19,0,14,9,19,12,15,18,1,18,15,10,16,15,19,0,14,0,0,12,7,0,17,14,17,16,10,14,18,13,16,17,11,17,14,13,6,16,18,16,15,0,17,0,0,17,12,6,16,15,5,16,0,14,19,15,15,14,13,13,16,11,1,0,18,17,17,3,19,11,16,14,0,14,20,18,14,17,4,19,19,7,14,15,0,17,16,0,4,0,16,0,13,15,3,18,0,12,10,0,16,19,7,0,6,13,16,18,0,14,11,12,0,15,6,17,11,5,19,19,9,17,0,17,0,13,13,14,16,11,0,0,0,17,18,0,14,15,6,18,14,17,19,15,17,0,18,17,15,14,13,15,16,14,14,0,19,15,10,21,0,7,2,11,15,14,14,4,7,15,18,16,6,13,0,0,0,12,16,18,0,0,8,12,16,18,0,17,17,14,13,0,16
ckt,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,2,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
