language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
afj,1,1,2,1,1,0,2,1,2,1,1,1,1,1,0,0,2,1,1,2,1,1,1,0,1,1,1,1,1,2,1,1,2,0,0,0,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,1,1,1,2,2,1,0,1,1,1,1,0,1,1,1,1,2,1,2,2,1,1,1,1,2,0,1,2,2,1,1,1,0,1,1,1,2,0,0,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,0,2,1,1,0,1,1,1,2,1,2,1,0,1,2,2,2,1,2,1,1,1,1,0,2,2,2,0,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,0,2,1,0,2,1,1,1,1,0,1,1,1,1,0,0,1,1,2,1,1,0,2,2,1,2,0,1,2,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,2,0,0,1,1,1,1,0,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,2,0,0,1,1,1,2,1,1,1,1,0,1,2,1,1,2,1,1,0,1,1,1,1,0,1,1,2,2,0,2,1,1,1,2,2,0,1
bdm,4,4,6,5,4,0,3,5,5,4,4,4,4,4,1,0,6,4,0,5,4,4,2,3,5,4,4,4,4,5,2,5,4,0,0,0,6,6,4,4,6,5,4,4,4,6,4,4,4,4,4,3,4,4,2,4,3,4,5,4,6,2,4,5,4,6,4,3,4,4,4,4,4,4,4,4,4,6,5,4,4,3,4,6,4,0,1,0,0,2,5,5,3,4,4,4,4,4,6,6,5,4,4,4,2,4,0,4,6,2,4,0,6,0,4,4,5,4,5,4,0,4,5,5,4,4,4,4,4,4,4,0,0,3,4,0,4,0,5,0,4,6,0,4,4,4,2,4,0,2,0,0,3,4,0,4,6,4,3,5,4,3,3,6,5,0,6,4,0,4,5,6,4,0,5,5,6,3,4,5,5,4,6,4,4,4,4,5,4,3,4,4,5,5,0,4,4,2,0,0,4,0,3,4,4,4,4,0,6,4,4,4,1,2,5,6,0,5,4,2,4,5,4,6,3,0,0,4,5,0,4,4,4,4,4,0,4,4,2,4,0,0,4,0,2,4,4,4,5,0,4,2,0,0,4,3,4,2,5,4,4,5,5,2,4,3,4,4,5,4,4,4,4,4,0,5,3,5,5,5,6,4,2,4,0,4,0,4,6,5,4,4,4,4,3,2,4,6,4,0,5,4,5,0,0,3,4,0,6,5,5,0,2
bgk,7,8,8,8,7,0,6,8,0,7,8,7,7,7,3,0,8,9,0,6,7,7,0,1,7,7,7,8,7,0,6,7,8,0,2,0,7,2,1,7,2,7,7,8,6,8,7,8,7,8,7,5,7,7,7,7,7,7,7,7,8,4,8,8,7,8,7,0,8,7,8,7,5,7,7,8,7,9,8,7,7,0,7,7,7,0,0,0,6,0,0,8,1,7,8,8,7,7,0,0,7,0,7,7,6,7,0,2,8,7,8,7,9,6,6,7,7,7,8,8,0,8,9,6,8,7,7,0,7,7,7,0,1,0,7,6,0,0,0,3,7,3,6,8,8,7,5,7,4,5,0,3,9,7,0,7,8,7,0,7,8,6,5,8,0,4,0,7,7,8,7,8,8,0,8,0,1,1,7,7,7,7,8,7,7,7,3,7,7,0,7,7,8,8,7,8,7,4,0,0,7,0,7,8,8,7,7,2,8,7,7,7,3,0,9,3,0,7,7,3,9,8,7,8,0,0,5,8,8,0,6,3,7,7,7,0,7,7,8,7,3,0,7,0,3,7,8,7,7,0,7,6,4,0,8,0,7,7,6,7,7,7,8,3,7,0,7,7,2,7,7,7,7,7,0,0,5,7,8,7,3,7,3,7,0,7,0,7,0,8,7,6,8,7,0,3,7,2,8,0,2,7,8,7,0,8,7,0,9,0,0,0,9
bjn,17,21,0,15,24,1,16,22,19,23,20,23,23,21,0,4,18,18,6,17,24,23,4,13,22,24,21,22,24,17,18,21,21,0,2,0,0,2,9,20,15,20,24,22,15,19,22,23,22,20,22,0,20,24,15,22,19,21,17,23,15,5,21,21,24,18,19,5,21,18,20,21,6,22,23,16,19,3,21,22,23,0,24,2,18,0,0,0,15,8,9,23,1,20,22,22,21,17,11,7,16,11,8,23,8,23,0,16,18,12,22,19,3,17,8,23,21,23,22,19,0,9,16,7,22,23,22,7,24,22,22,3,3,11,20,7,10,9,0,14,22,12,18,22,21,15,6,24,5,11,0,14,17,20,0,19,15,23,0,19,0,18,8,16,12,0,7,24,20,22,8,19,20,3,14,0,12,6,23,22,8,23,18,14,22,24,6,20,20,0,21,22,19,16,8,20,23,5,0,5,23,0,13,20,23,22,18,5,14,23,24,23,4,0,22,8,0,20,23,0,20,17,24,18,13,0,0,23,14,3,16,10,21,21,21,0,19,20,23,23,0,3,0,0,3,24,21,23,20,0,19,20,0,0,20,5,24,15,16,23,23,21,19,8,21,0,24,21,12,23,19,23,19,24,0,13,9,10,22,16,18,1,5,23,0,19,0,24,21,21,22,16,21,21,13,3,20,18,21,0,21,14,17,8,0,12,24,0,19,17,13,0,19
bwx,16,15,11,14,16,0,12,16,15,16,15,16,16,16,0,0,15,15,0,7,17,17,0,9,17,17,15,16,16,15,15,15,17,0,5,0,11,8,1,16,11,16,16,16,11,10,16,16,17,16,16,6,16,16,13,17,15,17,14,16,14,0,16,17,16,15,16,0,17,14,15,15,0,17,17,15,16,16,16,16,16,0,16,14,17,0,0,0,14,0,15,9,8,16,9,17,16,13,10,12,9,7,15,16,11,17,0,11,10,3,17,15,17,7,7,17,8,16,16,0,0,16,15,9,17,16,17,14,17,17,16,4,0,0,15,2,0,7,7,9,17,3,15,17,16,8,14,17,7,2,0,9,10,15,0,16,14,17,0,15,14,15,0,9,0,5,0,16,14,17,9,2,9,0,0,7,1,1,16,15,14,16,10,13,17,16,3,10,16,5,15,17,17,9,3,16,16,8,0,10,16,0,10,14,16,16,16,0,2,16,16,16,10,0,8,9,5,16,17,0,17,13,17,14,6,0,6,17,2,0,12,3,17,16,17,0,17,15,9,17,0,2,12,0,3,18,14,16,16,3,13,15,8,0,17,0,16,8,15,9,17,16,15,3,16,0,16,17,11,17,16,16,13,18,0,8,0,8,15,14,13,15,0,16,0,13,5,17,16,16,17,7,15,9,5,7,17,15,16,3,16,2,9,6,1,11,16,0,14,15,0,0,15
chm,11,9,0,11,10,0,11,11,8,11,11,10,11,11,0,5,0,12,0,11,10,10,0,7,12,10,9,11,10,11,11,12,12,0,2,0,10,10,1,11,2,11,10,11,9,14,11,10,11,11,11,8,12,11,11,11,12,11,11,12,2,6,11,11,10,12,9,0,7,10,11,11,9,10,11,11,11,11,12,9,10,0,10,10,12,0,2,0,10,5,13,12,1,11,12,11,9,11,0,9,12,8,11,11,7,12,0,2,3,10,11,10,12,0,0,10,11,11,11,13,0,11,10,11,12,10,11,10,10,12,11,0,0,7,10,2,0,5,0,12,10,9,9,11,11,11,10,10,8,7,0,8,12,10,0,10,2,11,0,11,0,10,0,2,10,7,0,10,10,11,12,11,13,0,10,7,1,1,11,10,11,12,13,10,11,10,3,12,11,0,8,10,11,11,11,11,10,2,2,8,10,2,0,10,11,11,10,0,12,11,10,11,6,0,13,8,0,12,10,0,12,9,10,12,8,0,8,11,10,0,11,8,10,9,11,0,11,12,12,11,0,1,9,0,3,11,11,10,12,0,10,9,6,0,11,0,11,8,10,13,10,11,11,6,11,0,11,10,8,11,11,11,11,11,0,10,0,2,12,9,9,11,4,11,0,10,4,11,10,12,10,10,10,12,6,3,10,12,10,0,9,2,10,6,0,10,11,0,13,11,0,0,12
cjs,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0
dgr,15,10,9,13,19,0,8,17,10,15,14,19,19,15,5,0,10,14,0,14,20,19,7,8,20,19,14,18,19,14,16,17,9,0,2,0,0,11,1,15,8,15,20,18,10,10,18,18,16,17,18,10,9,19,8,16,9,16,13,19,13,0,17,16,19,16,15,6,10,15,14,16,13,18,18,14,9,15,9,18,18,0,19,13,10,0,0,1,7,0,10,18,1,19,16,18,17,8,8,8,15,7,10,18,13,9,0,8,10,3,18,8,10,13,7,19,16,18,18,15,0,15,14,9,18,18,16,13,20,18,15,7,0,0,17,2,0,6,9,9,19,3,14,16,15,8,7,18,7,10,0,9,14,17,0,17,2,16,0,14,0,14,6,13,0,5,0,19,13,18,9,15,16,0,0,7,1,5,19,16,13,18,10,12,16,19,5,17,17,8,14,16,18,14,3,17,19,2,0,6,18,0,0,16,18,17,15,0,2,19,19,19,0,0,19,13,0,15,16,0,16,10,19,0,6,0,6,18,2,0,7,9,16,18,16,1,18,16,18,18,0,0,0,2,3,20,17,19,15,3,9,16,0,0,16,0,19,13,14,17,19,15,14,3,17,9,18,18,9,19,15,19,15,19,0,8,0,9,17,13,12,8,0,17,0,15,0,20,15,15,18,12,17,17,5,10,16,9,15,0,15,11,15,6,0,0,19,0,15,16,0,0,16
dlu,14,11,0,12,15,0,10,2,8,13,10,15,10,14,0,5,12,11,4,10,15,15,0,5,16,15,12,14,15,10,3,14,11,0,2,0,9,2,8,14,9,14,15,10,7,17,10,15,15,14,14,0,15,13,10,15,11,15,8,14,2,7,10,9,15,3,14,0,16,8,13,13,8,15,10,13,12,12,15,12,15,0,15,2,9,0,0,0,9,4,12,11,1,13,15,15,14,10,0,7,11,6,11,10,10,16,0,9,12,9,15,13,16,12,0,15,14,15,10,12,0,13,13,7,15,15,13,12,15,16,10,6,0,0,9,2,9,4,0,10,15,3,12,15,10,14,9,15,6,6,0,8,2,13,0,14,2,15,0,10,13,9,0,11,9,0,0,15,9,15,11,2,15,0,0,7,10,4,14,9,10,15,17,8,10,15,3,14,10,0,10,15,10,7,10,10,15,2,0,5,13,2,0,2,15,10,13,4,10,15,15,10,0,0,17,12,0,11,15,0,15,11,15,11,10,0,9,15,2,0,10,3,15,11,14,0,10,11,16,10,0,0,11,0,3,16,13,14,14,0,10,13,5,0,15,0,15,11,9,15,13,14,13,6,13,7,15,15,8,14,10,15,8,16,0,11,0,2,14,12,3,14,0,10,0,9,3,15,14,14,15,9,13,11,9,8,15,11,14,0,12,10,13,6,0,9,10,0,12,14,0,0,11
dnv,10,14,0,12,14,0,10,14,14,13,10,14,10,14,0,5,12,11,4,13,14,14,0,5,14,14,12,15,14,10,14,11,16,0,2,0,9,2,1,14,9,13,14,10,7,16,15,13,14,10,13,0,11,15,10,14,11,13,8,15,2,7,10,15,14,3,11,0,15,8,10,9,11,14,15,10,15,12,11,14,12,0,13,2,16,0,0,0,13,4,14,16,1,13,14,14,13,10,0,11,11,6,11,15,10,15,0,9,12,9,14,13,15,9,0,13,10,10,10,12,0,13,0,7,16,14,15,9,13,14,10,6,0,0,9,2,0,4,0,10,14,11,12,14,10,10,9,13,6,9,0,8,2,9,0,13,2,10,0,10,12,13,0,11,9,0,0,14,12,14,11,2,14,0,0,7,1,4,13,13,10,14,16,8,15,14,3,14,14,0,10,14,15,7,10,14,13,2,0,5,15,2,0,13,10,14,13,4,10,14,14,15,9,0,12,12,0,11,14,0,11,11,14,11,0,0,9,10,2,0,10,3,13,11,15,0,15,11,11,15,0,0,11,0,3,15,13,11,11,0,10,12,5,0,14,0,10,11,13,16,15,13,13,6,14,7,14,14,8,15,14,10,8,15,0,11,0,2,14,11,3,10,0,10,0,12,3,14,13,11,13,9,12,16,9,8,14,11,11,0,14,2,13,6,0,9,15,0,12,10,10,0,11
