language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
akr,11,7,12,5,4,12,3,13,4,12,5,4,7,1,14,11,3,11,11,7,7,1,8,11,13,2,7,12,8,4,0,12,9,13,12,7,9,2,11,10,9,1,12,0,7,9,8,0,7,6,10,0,7,1,3,12,0,8,13,13,0,8,1,6,11,12,7,1,9,1,3,8,7,8,8,12,5,12,13,12,8,6,0,3,13,0,4,0,13,13,12,3,12,7,9,3,0,10,0,13,7,12,9,11,13,1,10,0,12,2,12,7,12,8,5,7,12,8,6,8,7,7,12,0,2,8,13,11,0,0,9,11,0,3,3,1,0,1,12,7,4,7,13,12,0,10,9,10,5,7,11,11,3,7,0,9,0,10,0,5,6,0,9,8,0,6,1,3,13,0,1,8,1,8,9,0,12,4,11,0,12,9,11,10,4,13,12,12,0,13,13,0,5,1,12,13,14,8,11,12,12,0,12,8,8,4,12,11,0,1,0,13,13,12,7,13,12,0,0,12,12,9,5,11,7,0,0,12,0,13,10,12,0,0,12,11,3,6,12,11,8,10,5,5,13,12,8,1,7,1,6,0,7,13,11,1,7,9,13,13,13,0,3,0,3,7,2,13,12,12,10,11,6,12,11,1,0,12,12,0,5,12,1,11,3,0,11,10,11,11,12,10,0,12,9,12,4,6,1,0,0,1,13,0,12,3,0,12,0,8,7,6,11
awz,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,1,1,1,2,0,1,1,0,1,0,0,0,0,1,1,0,0,2,2,0,1,0,1,1,1,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
bcj,8,10,9,3,2,9,3,10,0,10,1,6,9,1,11,8,7,8,8,9,3,5,0,6,11,2,8,9,10,6,0,10,1,10,9,6,8,2,9,8,5,9,9,0,9,0,7,8,9,10,9,5,7,3,1,9,8,10,10,9,7,0,7,8,9,9,10,7,8,6,0,7,8,5,7,8,1,9,10,10,6,7,0,3,10,0,2,0,11,9,9,3,8,8,8,3,3,7,0,9,8,9,8,9,11,6,8,0,9,0,9,11,10,10,11,9,9,11,0,10,10,9,10,0,0,6,10,7,0,0,7,9,0,0,3,1,0,7,9,10,10,10,11,9,0,8,8,8,4,9,9,8,2,9,0,6,0,8,0,5,5,5,8,10,0,9,1,0,11,0,6,7,6,7,7,0,7,6,8,6,10,0,8,6,4,10,9,10,0,7,11,0,3,4,9,11,12,5,7,8,9,8,10,1,7,4,8,6,0,9,3,10,12,9,0,10,10,8,8,11,9,8,0,7,9,0,0,11,0,7,7,10,0,5,10,7,3,8,9,6,6,7,5,5,10,9,6,7,10,7,6,0,11,9,9,1,10,0,10,10,10,0,9,0,3,8,2,10,10,10,0,9,7,10,9,6,0,9,9,0,11,9,1,9,11,5,5,8,10,8,9,8,3,9,8,10,5,8,7,0,3,5,10,0,10,3,0,9,0,12,11,5,9
bdn,5,5,6,4,2,6,2,6,0,5,1,4,6,1,7,5,4,6,5,6,6,1,3,5,8,0,0,5,7,0,2,6,8,5,6,5,7,2,5,4,4,5,6,0,5,6,2,0,5,5,6,0,0,1,1,6,5,6,5,7,0,4,5,0,5,6,5,6,5,1,2,4,5,1,6,5,4,5,6,6,0,3,0,5,7,0,3,0,6,5,7,3,5,5,3,3,0,6,0,5,6,6,0,4,6,1,2,0,5,0,5,5,6,6,7,6,4,6,5,6,6,5,6,0,0,5,6,5,5,0,5,4,0,0,3,1,0,6,5,6,5,5,7,5,3,0,6,4,0,5,6,6,0,5,0,0,0,6,0,6,4,4,0,7,1,4,1,0,7,0,5,5,1,6,6,0,5,5,5,0,5,5,1,0,5,6,6,1,0,6,7,0,3,1,6,6,6,7,6,6,6,0,5,6,5,5,5,5,4,6,0,6,7,5,6,6,6,0,0,4,6,6,4,6,6,0,0,5,1,6,5,6,0,3,7,5,0,0,5,0,5,5,1,6,7,6,5,6,4,5,5,0,5,6,7,1,6,6,6,7,6,0,5,0,3,5,2,7,6,5,6,5,4,5,6,3,0,5,5,2,7,5,1,5,6,0,5,0,7,6,5,5,0,6,7,6,4,5,1,0,0,1,5,0,6,3,0,6,0,6,6,1,5
bnu,4,6,5,3,2,5,2,5,0,6,1,5,5,1,8,5,4,5,5,5,5,1,0,5,7,0,0,6,6,0,2,0,7,7,5,5,6,4,4,4,0,5,5,0,6,6,4,7,5,5,6,0,6,1,1,5,5,5,6,6,0,0,5,0,4,5,5,5,5,1,2,4,4,1,5,4,4,6,5,5,0,4,0,4,6,0,3,0,5,6,6,3,4,5,2,3,0,6,0,6,5,5,0,4,7,1,2,0,5,0,6,6,5,6,6,6,5,6,5,4,5,6,6,0,1,4,5,5,5,0,0,4,0,0,5,1,0,6,4,5,6,6,6,6,3,0,5,4,0,6,7,5,0,4,0,0,0,7,0,6,3,3,0,6,0,5,1,0,6,0,1,5,1,6,6,0,6,5,6,3,6,6,1,0,6,5,5,6,3,5,6,0,3,1,5,5,5,6,5,5,5,5,6,7,6,6,4,4,5,5,0,5,6,4,0,5,6,5,0,5,5,5,0,6,5,0,0,6,1,6,5,5,0,3,6,5,2,4,5,0,5,4,1,6,0,5,3,6,5,5,5,0,6,5,6,1,5,6,5,6,5,0,6,0,3,5,2,6,5,6,5,4,5,6,5,3,0,6,4,2,8,6,3,5,5,0,5,5,6,6,0,4,0,5,7,5,4,4,1,0,0,1,4,0,5,3,0,5,0,7,5,1,4
bpq,12,12,16,7,2,15,5,16,0,13,9,4,12,1,16,14,3,15,13,7,11,8,5,12,9,2,7,13,11,4,4,0,12,8,16,11,12,7,12,14,10,1,15,0,13,0,9,0,12,12,5,0,7,1,3,17,11,15,16,17,8,6,1,11,14,13,15,1,10,1,4,6,7,1,10,13,5,17,7,15,9,9,0,3,14,0,4,2,15,16,4,3,6,7,5,3,0,11,0,7,7,15,11,5,8,7,3,0,14,2,7,7,16,8,13,11,6,8,10,8,15,7,13,0,2,7,14,12,0,0,10,6,0,0,3,1,0,1,13,15,4,12,15,13,4,14,12,11,5,12,13,16,3,12,0,10,4,13,3,10,1,0,12,8,0,6,1,3,15,0,1,12,11,11,11,0,15,4,12,0,16,11,13,7,4,15,17,8,0,15,14,0,4,6,14,7,9,10,8,16,13,0,15,11,8,9,13,4,0,1,0,16,16,14,10,14,15,0,10,13,17,9,0,8,15,0,0,7,0,15,13,13,0,0,14,13,3,10,5,13,8,11,5,5,14,13,9,1,12,1,10,0,13,7,12,1,13,0,16,16,7,0,3,0,3,7,2,15,16,4,0,14,6,13,12,1,0,14,8,0,14,15,1,13,3,0,14,6,9,0,7,6,0,17,9,16,4,12,1,0,0,1,8,0,13,3,0,15,0,8,12,1,14
bry,20,17,23,0,0,22,0,4,0,20,1,12,0,1,6,19,14,20,19,4,4,4,11,4,6,0,6,19,13,10,1,5,6,6,20,15,5,10,19,19,13,16,19,7,18,13,11,6,4,18,0,3,16,1,1,24,18,20,22,21,12,0,4,5,20,24,22,4,4,5,0,11,3,13,4,17,1,22,19,23,18,11,1,10,18,0,7,3,21,21,5,0,19,14,10,6,0,15,8,21,15,21,18,12,5,9,14,0,16,0,17,4,22,5,20,19,18,17,12,15,18,4,18,2,0,3,20,17,4,1,15,17,0,0,4,1,0,5,20,21,18,15,18,4,0,19,4,18,3,20,18,21,0,17,0,17,0,17,2,14,1,0,0,5,0,13,1,0,19,0,4,1,15,15,0,2,20,14,17,0,22,0,17,13,14,23,23,5,2,19,19,0,9,1,20,22,19,13,17,22,22,0,20,18,1,0,19,17,3,10,0,21,5,19,5,18,19,12,5,17,22,13,0,14,20,0,0,16,0,0,4,19,2,0,0,18,0,0,16,17,11,17,1,1,6,22,14,5,17,9,14,0,4,20,17,1,20,5,4,5,20,0,4,0,0,4,3,22,22,18,13,19,10,20,17,2,0,22,3,0,19,22,1,4,4,9,16,15,0,5,16,15,2,22,6,21,11,17,3,0,4,8,17,0,4,6,0,22,10,5,19,8,19
cvw,6,8,7,3,3,7,3,8,0,8,6,7,8,1,10,6,6,7,7,1,3,1,6,8,10,3,0,7,9,5,0,8,10,9,7,6,10,5,8,5,7,7,7,3,8,7,2,8,8,7,7,4,7,3,4,7,6,9,8,8,6,0,1,7,6,7,8,1,7,6,0,4,6,6,7,6,1,7,8,7,6,0,0,6,9,0,2,0,9,8,8,4,7,6,6,4,0,8,0,8,4,7,5,6,9,1,6,0,7,0,8,8,7,9,9,5,7,9,0,7,8,8,5,0,0,6,8,8,6,0,6,5,0,0,3,1,4,7,7,8,7,9,4,7,0,5,7,5,4,8,5,7,4,8,0,5,1,11,0,7,1,6,6,9,2,8,1,0,8,0,1,9,4,9,7,0,8,7,7,0,7,0,6,8,4,8,7,9,0,9,8,0,3,4,7,8,8,9,9,7,7,7,7,9,7,4,7,7,0,8,3,7,9,7,0,8,7,6,7,9,7,10,0,9,8,0,0,8,0,9,6,8,0,4,8,6,3,7,7,8,9,6,5,5,8,7,6,1,8,6,6,0,8,8,8,1,8,7,9,8,8,0,8,0,3,6,4,8,7,8,7,6,3,8,8,5,0,7,7,0,9,7,1,6,8,4,5,7,8,8,8,6,3,7,8,7,4,7,5,0,2,5,9,0,7,5,2,7,6,9,8,4,6
dfs,18,15,21,3,6,20,0,20,2,18,1,10,0,1,19,16,12,18,17,1,14,1,4,15,0,4,10,17,12,9,0,13,1,18,18,13,0,9,17,17,11,14,18,6,16,12,2,0,6,16,12,0,0,1,6,21,15,7,20,19,10,5,6,0,18,21,19,1,13,1,5,5,11,4,13,16,1,19,17,20,16,5,0,3,17,0,2,0,19,7,14,3,16,12,0,3,0,14,7,18,13,19,16,1,16,8,12,0,6,0,14,15,19,7,18,17,16,15,11,14,17,12,15,0,0,0,18,6,9,0,13,14,0,0,7,1,0,1,18,19,16,8,8,18,8,16,15,16,0,18,16,19,6,15,1,14,0,9,4,12,8,0,13,0,0,12,3,0,17,0,8,14,14,14,14,0,18,12,16,9,20,13,1,5,12,20,21,7,0,17,18,0,3,1,18,19,18,12,15,20,19,6,18,16,14,12,17,15,0,1,0,19,18,16,11,16,18,0,0,7,20,7,0,5,18,0,0,15,0,5,16,17,0,9,15,16,7,12,15,15,7,15,6,7,0,20,3,9,15,1,7,0,17,18,16,1,18,0,17,21,18,0,10,0,3,13,6,20,19,16,0,17,3,18,4,4,0,20,15,4,17,20,4,17,12,8,7,13,13,7,14,7,4,20,1,19,9,15,9,0,0,7,6,1,15,3,0,20,8,18,17,1,17
djy,13,12,14,8,2,13,3,14,0,13,5,4,12,1,9,12,3,13,6,7,12,7,9,7,9,2,7,13,8,4,0,0,12,14,14,10,12,2,13,12,5,11,14,0,12,0,9,0,12,13,5,0,11,1,3,15,11,14,14,15,8,6,1,11,12,16,14,1,10,1,4,9,7,9,8,13,5,16,7,16,10,6,0,3,14,0,4,0,8,15,4,3,6,7,5,3,0,11,0,14,7,14,10,5,14,7,11,0,13,2,7,7,15,8,13,7,6,12,6,8,13,7,13,0,2,7,15,12,0,0,0,6,0,0,3,1,0,1,6,14,4,12,9,13,4,13,11,13,5,14,13,15,3,12,0,12,0,13,3,10,1,0,11,8,0,6,1,3,14,0,1,8,9,11,9,0,14,4,14,0,14,10,5,7,4,14,14,13,0,14,14,2,6,6,14,15,16,8,8,14,15,0,14,12,8,8,14,4,0,1,0,15,15,13,7,14,13,0,10,6,16,9,0,8,12,0,0,7,0,8,12,13,0,7,6,12,6,11,13,7,8,13,5,5,14,15,9,1,12,1,10,0,7,15,12,1,13,0,15,15,14,0,3,0,3,12,2,16,13,4,11,13,6,13,12,1,0,15,14,0,13,14,1,12,3,0,13,6,9,12,7,12,0,15,9,13,4,11,1,0,0,1,8,0,13,3,0,13,0,8,13,1,13
