language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
agz,5,4,10,8,8,8,3,1,11,0,0,7,0,9,5,5,10,10,9,9,8,6,9,0,9,2,9,0,7,9,9,10,11,0,9,0,6,9,9,0,9,8,5,10,9,9,10,0,1,7,2,0,10,10,4,9,9,9,9,10,9,0,9,9,8,10,9,10,0,0,9,10,9,6,11,0,1,9,10,6,0,9,3,9,7,10,7,0,10,4,9,5,9,7,0,2,6,0,9,10,9,0,9,8,5,9,5,7,0,8,11,11,2,7,10,10,1,9,0,10,10,2,6,5,0,9,10,9,7,2,11,9,0,1,5,11,8,9,7,9,9,11,9,2,9,9,1,9,10,3,10,7,10,4,1,0,6,9,9,10,5,9,4,5,2,9,6,11,10,0,9,9,3,9,10,9,9,9,9,5,10,0,4,1,10,6,2,9,6,5,10,9,4,5,9,2,9,4,6,9,10,0,0,9,6,0,10,9,0,4,9,4,9,9,10,10,11,9,8,0,10,6,9,11,6,9,12,9,10,9,10,10,0,4,0,6,5,9,8,0,7,9,9,11,8,0,3,8,10,10,10,10,9,9,10,8,0,2,0,10,9,9,7,4,0,9,0,9,4,10,0,2,12,0,10,0,2,0,5,10,9,9,7,0,2,2,9,9,9,0,9,11,7,2,9,9,8,9,9,0,9,10,6,6,0,10,9,10,9,5,0,0,11
aqr,4,1,6,3,6,9,5,7,8,0,0,8,0,6,6,4,7,7,5,7,5,7,6,0,6,7,6,2,4,6,6,6,7,0,7,0,5,6,7,1,7,6,3,7,6,6,6,0,1,8,2,0,7,6,3,6,6,6,5,1,6,0,6,6,5,7,6,6,0,0,6,6,6,1,8,0,7,7,7,7,0,7,3,6,6,8,8,0,7,0,6,0,5,6,0,2,7,0,6,6,6,4,6,5,6,6,6,8,0,5,8,9,8,8,7,7,4,6,0,7,6,2,2,6,2,6,7,6,2,5,7,6,0,0,6,8,5,6,6,6,6,7,6,1,6,6,3,7,6,2,6,2,7,5,6,0,0,6,7,6,5,7,0,6,8,5,7,8,6,1,3,6,0,0,6,6,7,6,6,6,6,5,0,1,6,7,5,7,7,6,6,7,5,1,6,5,7,5,1,6,6,0,0,3,7,0,7,6,2,5,6,3,7,6,6,6,8,7,6,0,7,7,6,8,0,6,8,6,7,6,6,6,0,5,4,6,6,6,2,0,4,8,6,7,6,0,0,9,7,7,7,7,6,6,6,6,0,2,0,7,6,6,7,2,0,6,3,7,8,7,0,2,3,0,7,0,6,7,6,7,6,6,0,4,2,2,7,6,6,5,7,7,8,6,7,7,6,5,6,0,6,6,1,5,0,6,6,7,6,6,0,0,7
asx,6,4,9,9,9,8,3,1,10,0,0,12,0,11,9,2,11,12,8,10,10,11,11,0,11,9,11,0,9,11,11,11,10,0,11,0,1,11,10,0,6,5,0,9,10,11,11,0,1,7,8,1,6,9,0,11,11,11,8,12,11,0,11,11,10,9,11,11,0,0,11,9,2,7,12,0,11,11,12,10,5,11,3,11,1,7,11,0,9,4,11,6,8,8,0,9,10,0,11,9,11,0,11,4,10,11,8,7,0,10,12,8,11,12,6,12,5,10,0,9,9,2,9,9,0,11,6,11,2,8,10,11,0,0,9,12,10,11,6,11,11,12,11,2,11,11,1,10,9,3,11,9,11,4,1,0,6,11,11,11,5,6,0,5,10,8,10,10,9,0,11,11,4,8,11,11,6,11,8,5,9,0,4,1,11,11,2,10,6,9,11,11,8,1,11,2,6,7,8,11,9,4,0,6,8,0,6,11,0,7,11,1,6,11,11,9,10,11,5,0,12,6,11,12,4,11,11,11,9,11,11,11,0,4,0,9,8,11,2,0,0,9,11,12,9,0,4,11,12,11,6,6,8,10,11,6,0,8,0,9,11,11,7,5,0,11,0,10,4,6,0,2,11,0,6,0,2,10,9,11,11,11,0,0,8,2,8,11,5,0,6,9,7,10,9,2,7,8,11,0,11,9,1,4,0,8,11,11,11,8,0,0,10
beh,3,3,3,4,1,5,2,4,5,0,4,4,0,3,1,2,2,4,1,3,2,3,3,0,3,2,3,0,2,3,3,3,4,2,4,0,3,3,4,0,3,1,2,1,2,3,3,2,4,3,2,0,3,3,0,3,3,3,2,5,3,2,3,3,3,4,3,3,0,1,3,3,2,2,5,0,4,4,4,3,0,4,1,3,3,4,5,0,4,0,3,2,2,3,3,4,3,0,3,3,3,0,3,2,2,3,0,5,0,3,4,6,5,5,2,5,2,3,0,3,4,2,4,3,0,3,2,4,4,3,4,3,0,0,2,4,1,3,3,3,4,4,3,1,3,3,1,2,4,2,2,2,4,2,3,3,0,3,4,3,3,4,2,2,5,2,3,3,3,0,7,4,0,0,3,3,4,3,4,0,4,3,3,1,3,2,4,3,0,2,2,3,0,2,3,2,3,2,2,3,3,3,0,3,1,0,3,3,0,1,3,1,3,3,3,2,4,4,3,0,2,2,2,4,0,3,5,2,5,3,3,1,0,2,3,4,2,3,3,0,0,4,2,4,4,0,1,0,4,3,3,3,2,2,2,3,0,2,0,2,3,3,5,0,2,3,2,4,5,3,1,2,5,0,3,0,4,4,2,3,3,3,3,2,3,5,3,3,2,0,3,5,5,4,4,4,3,2,3,0,3,3,3,1,0,3,3,3,3,3,0,0,3
bey,0,2,2,4,3,3,2,3,4,2,3,3,0,2,3,3,4,4,3,4,2,2,2,0,2,5,2,0,2,2,2,2,3,3,0,0,1,2,3,0,2,3,0,3,2,2,2,1,3,4,2,0,2,2,0,2,4,2,3,4,2,2,2,2,1,3,2,2,0,1,2,2,2,3,4,0,3,3,3,3,0,3,1,2,1,3,4,0,3,0,2,2,2,2,2,2,2,0,2,2,2,0,2,2,3,2,0,4,0,2,3,5,4,4,3,4,2,2,0,2,3,3,2,0,0,2,3,3,3,2,3,2,0,0,3,3,3,2,4,2,3,3,2,1,2,2,1,2,3,2,3,4,3,2,2,0,0,2,0,2,3,3,2,1,4,3,2,5,2,0,6,3,0,3,2,2,3,2,3,3,3,3,2,2,2,4,3,2,5,3,3,2,0,3,2,2,4,2,3,2,2,0,0,5,3,0,2,2,0,1,2,1,2,2,2,3,3,3,3,0,4,3,3,3,0,2,4,3,4,2,2,3,0,0,3,4,2,2,5,0,2,3,3,3,4,0,1,5,3,2,2,4,3,4,3,3,0,4,0,3,2,2,3,0,0,2,2,3,6,2,1,2,6,0,2,0,4,3,3,2,2,2,4,2,5,4,2,2,3,3,2,4,4,3,4,5,3,3,2,4,2,2,4,1,0,2,2,4,2,4,0,0,4
bfh,0,1,16,12,14,16,2,16,15,3,0,17,0,17,13,11,17,15,14,14,16,16,17,0,17,13,17,5,14,17,17,17,16,0,0,0,12,17,15,3,15,14,8,16,14,17,17,0,1,16,13,3,16,15,5,17,16,16,16,18,16,0,16,17,16,16,17,17,0,0,17,17,14,9,17,0,17,16,16,15,7,16,0,17,11,15,1,0,14,7,17,10,15,1,0,10,15,0,16,16,17,8,17,13,14,17,0,10,0,16,18,16,16,18,16,17,1,16,0,16,15,2,15,14,0,17,16,17,12,10,15,17,0,0,13,17,16,17,0,17,17,18,17,1,17,17,1,13,16,2,16,15,16,10,11,5,0,16,16,16,9,15,6,1,14,14,16,15,15,0,16,17,6,13,16,17,15,17,14,0,16,12,9,1,17,16,2,15,11,15,17,17,13,10,17,9,12,12,12,17,17,0,0,10,12,0,16,17,0,11,17,5,15,17,17,16,17,17,12,0,17,14,17,18,9,17,14,17,2,16,16,16,0,10,0,0,14,17,2,0,12,1,17,15,13,0,5,16,16,17,16,15,13,12,17,12,0,13,0,16,17,16,10,0,0,17,6,16,2,16,0,3,16,1,17,0,0,14,15,16,16,17,11,0,11,15,15,14,16,0,16,1,15,11,14,14,12,16,17,8,17,17,0,12,0,17,17,17,17,10,0,0,16
bjx,0,4,8,7,7,11,3,9,9,0,0,10,0,8,8,2,9,9,7,8,7,9,8,0,8,2,8,0,6,8,8,8,9,6,8,1,1,8,6,0,6,7,0,8,8,8,9,0,1,10,2,0,9,8,0,8,8,8,7,9,8,0,8,8,7,1,8,8,0,0,8,8,8,5,10,0,9,6,9,6,4,6,3,8,1,9,10,0,8,4,8,0,7,5,0,7,8,0,8,8,8,6,8,7,8,8,5,7,0,7,10,8,2,10,9,9,1,8,0,6,8,2,7,8,0,8,9,8,2,7,9,8,0,0,5,10,7,8,6,8,8,9,8,2,8,8,1,6,8,3,8,8,8,6,1,0,6,8,8,8,5,8,0,8,9,7,8,7,8,0,9,8,3,7,8,8,8,8,8,7,8,7,6,1,8,9,2,6,6,8,8,8,6,1,8,6,6,6,6,8,8,0,0,8,6,0,9,8,0,4,8,1,6,8,8,8,9,8,5,0,9,6,8,10,5,8,10,8,8,8,8,8,0,4,5,8,5,8,7,0,6,10,8,9,5,0,0,8,9,9,9,9,5,5,8,7,0,7,0,6,8,8,7,0,0,8,0,6,4,9,0,2,9,0,9,0,2,0,5,9,8,8,6,0,2,8,6,8,8,0,6,10,7,8,10,2,5,7,8,7,8,8,1,4,0,9,8,6,8,5,0,2,9
blr,12,7,21,1,18,19,1,21,0,0,13,21,0,22,17,15,22,1,19,19,21,21,22,6,22,0,22,9,19,22,22,22,21,11,1,0,17,22,20,0,20,19,11,21,19,22,22,0,14,20,0,0,22,20,6,22,20,21,21,22,21,0,21,22,21,21,22,22,0,0,22,22,18,12,0,0,22,22,21,20,1,21,0,22,0,20,16,0,18,1,22,0,20,13,1,0,20,0,21,21,22,1,22,17,20,22,18,15,0,21,22,20,20,0,21,0,9,21,1,21,20,6,0,16,0,22,22,22,17,15,19,22,0,2,18,22,21,22,13,22,22,23,22,0,22,22,0,18,21,0,21,0,21,0,16,13,10,21,21,21,11,20,0,16,17,19,21,18,20,0,20,22,1,0,21,22,20,22,19,0,21,16,12,0,22,20,9,21,14,20,22,22,0,15,22,10,1,0,17,22,22,0,5,0,17,0,21,22,9,16,22,0,20,22,22,21,0,22,16,0,22,19,22,22,12,22,21,22,18,21,21,21,6,14,1,0,19,22,13,0,15,18,22,20,1,0,0,18,21,23,21,19,18,19,22,17,0,17,0,21,22,21,0,10,6,22,12,21,0,21,0,0,1,0,22,0,16,18,20,21,21,22,14,0,0,20,20,19,21,10,21,19,1,0,18,19,15,21,23,1,22,22,11,17,0,22,22,0,22,0,0,0,21
cdi,12,8,22,16,19,20,1,22,20,0,1,22,0,23,17,16,23,1,20,21,22,23,23,0,23,17,24,8,21,23,23,23,22,1,17,0,18,24,21,0,21,20,0,22,20,23,23,0,15,21,17,0,23,22,7,23,21,22,22,23,22,0,22,24,22,22,23,23,0,0,23,24,19,0,22,0,24,23,23,21,11,22,0,23,16,21,17,0,19,1,23,14,21,14,1,0,21,0,22,23,24,1,24,18,21,24,1,17,0,22,23,21,21,0,23,22,0,22,1,22,0,5,0,17,0,23,21,23,0,1,21,23,0,2,19,21,22,23,0,23,23,24,23,4,23,23,0,19,22,5,22,18,22,0,17,12,10,22,22,22,10,21,7,17,16,20,22,0,21,0,1,23,9,16,22,23,21,24,20,9,22,17,13,0,23,21,10,20,1,21,23,23,0,0,24,0,1,15,18,23,24,0,0,0,18,0,23,23,8,17,23,0,22,24,23,22,23,23,17,2,0,21,24,23,1,23,22,23,0,23,22,22,7,15,11,0,20,23,14,0,14,17,23,21,16,0,0,1,22,22,22,20,19,20,24,19,0,0,0,22,23,22,0,10,0,23,11,22,0,22,0,7,1,0,23,0,17,19,21,22,22,23,15,12,0,19,21,20,23,11,22,20,1,0,1,20,15,22,22,1,23,23,0,18,0,21,23,22,23,0,1,0,0
cop,0,4,9,3,1,8,3,10,10,0,0,11,0,10,9,2,1,11,8,1,9,10,10,0,10,9,10,0,8,10,10,9,12,0,10,0,1,10,6,0,10,9,0,11,1,10,8,3,1,7,7,1,11,9,0,10,10,10,10,11,10,0,10,10,9,11,10,9,0,0,10,11,2,1,7,0,10,10,11,9,0,10,3,10,1,7,11,0,9,4,10,0,10,5,0,8,9,0,10,11,10,0,10,4,9,10,8,7,0,9,7,12,10,11,11,11,5,5,0,11,9,2,8,5,0,10,6,10,8,2,10,10,0,0,8,7,9,10,6,10,10,10,10,2,10,10,1,6,9,3,9,9,9,4,1,4,6,10,10,9,6,10,5,9,11,8,9,10,9,2,9,10,4,8,9,10,6,10,8,5,11,0,4,1,9,10,2,11,6,5,9,10,7,6,10,2,6,7,8,10,11,0,0,6,6,0,11,10,0,4,10,1,10,10,9,9,10,10,9,0,11,6,10,7,4,10,13,10,9,10,9,9,0,4,0,9,7,10,2,0,8,9,10,10,5,0,3,12,11,6,6,6,8,8,9,6,0,8,0,9,10,10,7,0,0,10,0,6,4,6,0,2,11,0,11,0,2,9,8,6,10,10,0,5,2,9,10,10,10,0,10,9,7,9,9,2,7,10,10,0,10,11,1,7,0,11,10,9,10,7,0,0,10
